"HUC8","Site","SN18","avgT","sdT","MAXT","MEANT","RNGT","pctex21"
"YEL","161","3210",16.9123986486486,2.18313457899231,22.8122222222222,20.0139351851852,6.00944444444445,3.6036036036036
"UPI","96","3211",18.0774868618619,2.61631699434759,24.9311111111111,22.2465046296296,6.95833333333333,14.3018018018018
"UPI","38","3212",15.8816266266266,1.63650579709205,21.1872222222222,18.6836111111111,4.855,0.225225225225225
"UPI","163","3213",14.7485241491491,1.51744517154701,20.9961111111111,18.1166898148148,6.76611111111112,0
"UPI","157","3214",14.6140015015015,1.89131224092603,21.1872222222222,19.7186342592593,6.77111111111111,0.337837837837838
"UPI","57","3215",16.3691647897898,1.82470840782433,21.9511111111111,18.8619444444444,7.48833333333333,0.112612612612613
"YEL","65","3216",16.9411636636637,2.85895179758205,26.7811111111111,20.635625,16.4238888888889,8.22072072072072
"YEL","105","3217",13.6240890890891,2.03481836546603,20.5188888888889,16.532662037037,6.98,0
"YEL","113","3218",18.6619557057057,3.07847690766009,27.8622222222222,24.0832407407407,11.0888888888889,21.3963963963964
"UPI","29","3219",16.431991991992,2.33461288826587,21.9511111111111,20.4719907407407,4.87722222222223,2.02702702702703
"YEL","25","3220",15.4952784034034,1.73894182365422,21.2822222222222,18.6203009259259,5.45388888888889,0.225225225225225
"UPI","170","3221",17.0161211211211,2.20136059419333,22.7172222222222,19.8069907407407,7.09722222222222,3.26576576576577
"UPI","57b","3222",18.1631131131131,2.989380593359,33.3261111111111,23.8612037037037,13.6733333333333,14.3018018018018
"UPI","35","3223",14.3813607357357,1.4703248960873,20.9961111111111,17.2473611111111,7.05388888888889,0
"YEL","73","4485",17.6376889389389,2.06140819437131,23.1,20.9844444444444,4.76333333333333,5.06756756756757
"UPI","32b","4586",16.0572891641642,2.19976824977795,22.0461111111111,20.1396759259259,6.1261111111111,1.01351351351351
"YEL","1","4587",17.5538863863864,2.6138696442159,23.8688888888889,22.05375,7.26333333333334,10.472972972973
"YEL","40","4588",17.4095651901902,3.04447443749466,27.37,22.7101157407407,14.6661111111111,11.3738738738739
"UPI","130","4589",14.2829823573574,2.30493112895279,21.6638888888889,18.2037731481481,8.83,0.225225225225225
"UPI","14","4590",15.0425475475475,1.89259148400547,20.9961111111111,18.7827083333333,7.43833333333334,0
"UPI","149","4591",13.6347685185185,1.54186977375105,20.615,16.5852546296296,7.53888888888889,0
"UPI","61","4592",14.3232864114114,1.87057389184525,21.1872222222222,17.9340277777778,7.43722222222222,0.112612612612613
"YEL","52","4594",17.2373154404404,2.23885328860713,22.6211111111111,20.7306944444444,5.23611111111111,3.49099099099099
"YEL","178","4595",15.2459340590591,1.99401110901348,21.6638888888889,18.0572222222222,6.57277777777778,0.45045045045045
"YEL","103","4596",15.3317173423423,1.36823099504039,21.4727777777778,17.9855324074074,6.19055555555556,0.112612612612613
"YEL","57","4597",19.8336949449449,2.3295812895392,26.0972222222222,23.8886111111111,4.49055555555556,30.9684684684685
"UPI","201","4598",12.1893931431431,1.09751001660127,17.855,14.2394444444444,5.45388888888889,0
"UPI","123","4599",16.3093812562563,1.76082646193506,21.1872222222222,18.4933101851852,5.72444444444444,0.225225225225225
"UPI","36","4600",15.6311918168168,1.46016678496371,20.3288888888889,18.2514351851852,4.665,0
"UPI","16","4601",15.9637212212212,1.79256535264052,21.9511111111111,18.7233796296296,6.77,0.337837837837838
"YEL","203","4602",11.298348973974,0.910280571424787,18.4261111111111,13.3194907407407,7.58,0
"UPI","22","4603",15.4286361361361,1.62945915890565,21.3777777777778,18.7746296296296,5.90500000000001,0.225225225225225
"UPI","48","4604",16.1247053303303,1.94460355562918,21.2822222222222,18.699537037037,5.92333333333333,0.225225225225225
"UPI","10","4605",15.3055305305305,1.94523348964251,20.805,18.4495601851852,6.605,0
"UPI","26","4606",18.0072791541542,3.17468964440187,31.5738888888889,23.1805787037037,20.2988888888889,11.036036036036
"UPI","27","4607",17.02872997998,2.70428371561547,24.6411111111111,21.5668518518519,8.78888888888889,8.44594594594595
"UPI","11","4608",13.1058896396396,2.2789770573031,20.1377777777778,16.7671759259259,8.33611111111111,0
"UPI","32","4609",13.7694744744745,1.65604216120682,20.3288888888889,16.6847222222222,7.44611111111111,0
"LMAQ","24","4610",14.9738338338338,1.557357910954,20.1377777777778,18.2475462962963,5.71666666666667,0
