UID,Watershed (HUC 8),Site #,T1: BKT,T2: BKT,T3: BKT,T1: BRT,T2: BRT,T3: BRT,,Temp,ph,DO,,*14 out of 88 sites occupied by BKT,,,,15.91
36,Upper Iowa River,135,0,0,0,0,0,0,,14.5,7.78,10.3,,,,,,
37,Upper Iowa River,149,1,1,1,1,1,1,,13.1,8.12,11.52,,,,,,
38,Upper Iowa River,154,1,1,1,1,1,1,,15.4,8.44,14.32,,,,,,
39,Upper Iowa River,156,1,1,1,1,1,1,,10.5,8.38,13.25,,,,,,
40,Upper Iowa River,157,0,1,0,1,1,1,,14.8,8.2,10.8,,,,,,
41,Upper Iowa River,163,0,0,0,1,1,1,,16,8.5,10.29,,,,,,
42,Upper Iowa River,170,0,0,0,0,0,0,,14.6,8.81,8.91,,,,,,
43,Upper Iowa River,14b,0,0,0,1,1,1,,12.2,8.27,11.8,,,,,,
44,Upper Iowa River,32b,0,0,0,0,0,0,,18.1,8.63,12.16,,,,,,
45,Upper Iowa River,57b,0,0,0,0,0,0,,17.5,7.99,11.08,,,,,,
46,Upper Iowa River,201_NCT,0,0,0,1,1,1,,13.5,8.49,12.65,,,,,,
47,Upper Iowa River,202_CWT,0,0,0,1,1,1,,14.7,8.53,11.05,,,,,,
48,Yellow River,1,0,0,0,1,1,1,,13.5,8.56,10.11,,,,,,
49,Yellow River,4,0,0,0,1,1,1,,13.4,8.41,10.77,,,,,,
50,Yellow River,17,0,0,0,0,0,1,,17.1,8.85,10.36,,,,,,
51,Yellow River,20,0,0,0,1,1,1,,13.4,8.8,13.01,,,,,,
52,Yellow River,25,1,1,1,0,0,0,,15.7,8.12,11.67,,,,,,
53,Yellow River,29,0,0,0,1,0,1,,23.2,7.96,10.3,,,,,,
54,Yellow River,33,0,0,0,0,0,0,*Fishless,13.1,7.91,12.12,,,,,,
55,Yellow River,36,0,0,0,0,0,0,,25.7,8.67,12.74,,,,,,
56,Yellow River,39,0,0,0,0,0,0,,12.5,8.5,10.3,,,,,,
57,Yellow River,40,0,0,0,0,0,0,,15.4,8.13,10.86,,,,,,
58,Yellow River,41,0,0,0,0,0,0,,19.2,8.32,14.31,,,,,,
59,Yellow River,52,0,0,0,0,1,0,,14.3,8.66,9.94,,,,,,
60,Yellow River,56,0,0,0,1,1,1,,18,8.33,12.17,,,,,,
61,Yellow River,57,0,0,0,0,0,0,,20,8.62,9.92,,,,,,
62,Yellow River,65,0,0,0,1,1,1,,13.9,8.73,12.13,,,,,,
63,Yellow River,73,0,0,0,1,0,1,,14.9,8.61,12.52,,,,,,
64,Yellow River,77,0,0,0,1,1,1,,21.2,8.31,11.61,,,,,,
65,Yellow River,80,0,0,0,0,0,0,,18.3,9.03,11.55,,,,,,
66,Yellow River,82,0,0,0,1,1,1,,17.9,8.21,12.86,,,,,,
67,Yellow River,101,0,0,0,0,0,0,,17.7,7.86,12.59,,,,,,
68,Yellow River,103,1,1,1,1,0,0,,15.6,8.12,10.89,,,,,,
69,Yellow River,105,0,0,0,0,0,0,,12.7,8.24,12.28,,,,,,
70,Yellow River,113,0,0,0,0,0,0,,19.6,8.76,10.48,,,,,,
71,Yellow River,119,0,0,0,0,0,0,,19,8.23,13.17,,,,,,
72,Yellow River,120,0,0,0,1,1,1,,14.2,7.92,11.5,,,,,,
73,Yellow River,129,0,0,0,0,0,0,,16.9,7.59,10.25,,,,,,
74,Yellow River,150,0,0,0,0,0,0,,17.1,7.47,10.4,,,,,,
75,Yellow River,161,0,0,0,0,1,1,,16,8.22,11.12,,,,,,
76,Yellow River,178,0,0,0,1,1,1,,19.6,8.47,13.28,,,,,,
77,Yellow River,193,0,0,0,1,1,1,,16.7,8.31,12.28,,,,,,
78,Yellow River,201,0,0,0,1,1,1,,16,8.6,12.35,,,,,,
79,Yellow River,202,0,0,0,0,0,0,,15.3,8.05,11.21,,,,,,
80,Yellow River,203,0,0,0,1,1,1,,11.5,7.53,10.94,,,,,,
81,Yellow River,204,0,0,0,1,1,1,,12.5,8.09,9.79,,,,,,
82,Little Maquoketa,5,0,0,0,1,0,1,,16.9,8.46,12.22,,,,,,
83,Little Maquoketa,8,0,0,0,0,0,0,,16.3,8.32,13.7,,,,,,
84,Little Maquoketa,10,0,0,0,0,0,0,,12.2,7.73,12.74,,,,,,
85,Little Maquoketa,17,0,0,0,0,1,1,,13.9,8.32,11.65,,,,,,
86,Little Maquoketa,28b,0,0,0,0,0,0,,16,8.07,11.17,,,,,,
87,Little Maquoketa,24,1,1,1,1,1,1,,14.9,7.69,10.23,,,,,,
88,Little Maquoketa,61,0,0,0,0,1,0,,22.2,8.6,12.61,,,,,,
