"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
71,"YEL","119",8,15,314,0,4,5,2,0,0,0,0,0,NA,24.5222929936306,4.77707006369427,0,314,130.833333333333,5,0,0,5,0,NA,0,0,0,0,0,0,10,"Poor"
72,"YEL","120",7,44,81,1,4,3,2,44,54.320987654321,0,0,44,0,12.3456790123457,54.320987654321,14.6666666666667,37,12.3333333333333,5,0,5,5,0,0,0,5,0,5,0,10,35,"Fair"
73,"YEL","129",7,0,42,0,3,4,2,0,0,0,0,0,NA,14.2857142857143,0,0,42,35,5,0,0,5,5,NA,0,0,0,0,0,5,20,"Poor"
74,"YEL","150",2,0,44,0,1,1,0,0,0,0,0,0,NA,0,0,0,44,44,10,0,10,10,10,NA,0,0,10,0,0,5,55,"Fair"
75,"YEL","161",10,8,526,1,4,6,4,8,1.52091254752852,0,0,8,0,41.8250950570342,1.52091254752852,3.7037037037037,518,239.814814814815,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
76,"YEL","178",9,166,213,3,3,2,4,174,81.6901408450704,8,3.75586854460094,166,0,3.75586854460094,77.9342723004695,58,39,13,0,5,5,0,5,0,0,5,0,10,5,10,45,"Fair"
77,"YEL","193",8,190,594,1,2,2,3,187,31.4814814814815,0,0,187,0,60.4377104377104,31.986531986532,62.3333333333333,407,135.666666666667,5,0,5,0,5,0,0,0,0,5,5,0,25,"Poor"
78,"YEL","201",5,101,115,2,1,0,3,106,92.1739130434783,5,4.34782608695652,101,0,6.08695652173913,87.8260869565217,44.1666666666667,9,3.75,5,5,10,0,10,0,0,10,0,10,5,10,65,"Fair"
79,"YEL","202",6,0,58,0,3,4,1,0,0,0,0,0,NA,0,0,0,58,58,5,0,0,10,5,NA,0,0,10,0,0,5,35,"Fair"
80,"YEL","203",4,37,70,1,2,2,0,37,52.8571428571429,0,0,37,0,0,52.8571428571429,12.3333333333333,33,11,10,0,5,10,5,0,0,5,10,5,0,10,60,"Fair"
81,"YEL","204",3,158,274,2,1,0,1,158,57.6642335766423,0,0,158,0,42.3357664233577,57.6642335766423,52.6666666666667,116,38.6666666666667,10,5,10,10,10,0,0,5,0,5,5,5,65,"Fair"
82,"LMAQ","5",8,2,453,1,3,4,2,2,0.441501103752759,0,0,2,0,0.22075055187638,0.441501103752759,0.854700854700855,451,192.735042735043,5,0,0,5,5,0,0,0,5,0,0,0,20,"Poor"
85,"LMAQ","17",7,3,348,2,3,4,3,280,80.4597701149425,277,79.5977011494253,3,0,0.862068965517241,0.862068965517241,140,68,34,5,5,0,0,5,0,10,5,5,0,10,5,50,"Fair"
86,"LMAQ","28b",7,0,51,0,3,4,2,0,0,0,0,0,NA,25.4901960784314,0,0,51,49.0384615384615,5,0,0,5,5,NA,0,0,0,0,0,5,20,"Poor"
87,"LMAQ","24",5,100,110,2,2,2,1,100,90.9090909090909,72,65.4545454545455,100,72,0,90.9090909090909,50,10,5,5,5,5,10,5,5,10,10,10,10,5,10,90,"Good"
88,"LMAQ","61",13,8,466,1,5,7,3,1,0.214592274678112,0,0,1,0,12.2317596566524,1.71673819742489,0.454545454545455,465,211.363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
90,"UPI","25",10,8,209,1,4,5,2,7,3.34928229665072,7,3.34928229665072,7,100,25.8373205741627,3.82775119617225,2.69230769230769,202,77.6923076923077,0,0,0,5,0,10,0,0,0,0,0,0,15,"Poor"
91,"UPI","28",11,9,173,3,3,4,5,7,4.04624277456647,2,1.15606936416185,5,0,26.0115606936416,5.20231213872832,2.33333333333333,166,55.3333333333333,0,5,0,0,5,0,0,0,0,0,0,5,15,"Poor"
92,"UPI","70",7,2,194,2,3,2,3,4,2.06185567010309,2,1.03092783505155,2,0,4.12371134020619,1.03092783505155,2.22222222222222,190,105.555555555556,5,5,5,0,5,0,0,0,0,0,0,0,20,"Poor"
93,"UPI","73",4,82,327,3,0,0,1,325,99.388379204893,276,84.4036697247707,82,40.2439024390244,0,25.0764525993884,140.086206896552,2,0.862068965517241,10,5,10,10,10,5,10,10,10,0,10,10,100,"Good"
94,"UPI","78",9,3,105,1,3,3,2,3,2.85714285714286,3,2.85714285714286,3,0,17.1428571428571,2.85714285714286,1,102,34,0,0,5,5,5,0,0,0,0,0,0,5,20,"Poor"
96,"UPI","112",11,0,241,0,5,7,3,0,0,0,0,0,NA,7.05394190871369,0,0,241,136.931818181818,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
97,"UPI","151",3,50,51,3,0,0,1,51,100,1,1.96078431372549,50,0,0,98.0392156862745,17,0,0,10,5,10,10,10,0,0,10,10,10,0,10,85,"Good"
98,"UPI","153",5,3,138,3,0,0,2,129,93.4782608695652,126,91.304347826087,3,0,0,2.17391304347826,76.7857142857143,9,5.35714285714286,5,5,10,5,10,0,10,10,10,0,10,10,85,"Good"
99,"UPI","165",9,0,242,0,4,5,3,0,0,0,0,0,NA,51.2396694214876,0,0,242,121,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
100,"YEL","5",4,0,94,0,3,3,0,0,0,0,0,0,NA,0,0,0,94,83.9285714285714,10,0,5,10,5,NA,0,0,10,0,0,0,40,"Fair"
101,"YEL","9",14,0,1298,0,5,8,4,0,0,0,0,0,NA,6.62557781201849,0,0,1298,432.666666666667,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
103,"YEL","24",6,12,100,1,2,2,2,12,12,0,0,12,0,0,12,6.66666666666667,88,48.8888888888889,5,0,5,5,5,0,0,0,10,0,0,5,35,"Fair"
104,"YEL","28",2,113,114,1,0,0,1,113,99.1228070175439,0,0,113,0,0,99.1228070175439,56.5,1,0.5,10,0,10,10,10,0,0,10,10,10,5,10,85,"Good"
105,"YEL","37",3,0,45,0,2,2,0,0,0,0,0,0,NA,0,0,0,45,45,10,0,5,10,5,NA,0,0,10,0,0,5,45,"Fair"
106,"YEL","42",9,28,427,1,4,4,3,28,6.55737704918033,0,0,28,0,0.234192037470726,6.55737704918033,9.33333333333333,399,133,0,0,0,0,0,0,0,0,5,0,0,0,5,"Very Poor"
