Site #,T1: BKT,T2: BKT,T3: BKT,HUC8,temp,ph,do,t1_eff,t2_eff,t3_eff,effsec,BRTcpue(fish/min),t1_avwid,t2_avwid,t3_avwid,avwid,sdwid,t1_avdep,t2_avdep,t3_avdep,avdep,sdDep,t1_maxdep,t2_maxdep,t3_maxdep,maxdep,W/D ,pctclay,pctsilt,pctsand,pctfines,pctgrvl,pctcbbl,pctbldr,pctrock,subprop,t1_flow,t2_flow,t3_flow,mFlow,sdFlow,t1_maxflow,t2_maxflow,t3_maxflow,maxflow,pctRiffle,pctrun,t1_pctslow,t2_pctslow,t3_pctslow,pctslow,machabprop,AVembed,pctEmb1,t1_LWD,t2_LWD,t3_LWD,LWD,FWD,t1_under,t2_under,t3_under,under,t1_boulder,t2_boulder,t3_boulder,boulder,t1_depool,t2_depool,t3_depool,depool,bnkahz%,bnkamd%,bnkavr%,Avbnka,bnkbare%,AvChnlOpen%,chshdSD%,AvChnlShd%,extra1,extra2,extra3,extra4,extra5
26,0,0,0,0,18.9,8.88,10.58,2375,2435,2405,7215,0.033264033,6.0125,4.925,6.25,5.729166667,1.835987867,0.248125,0.33875,0.2575,0.281458333,0.228845294,0.54,1.5,0.48,1.5,20.35529238,0,20.83333333,0,20.83333333,0,77.08333333,2.083333333,79.16666667,77.08333333,0.335625,0.4625,0.330625,0.37625,0.335404646,0.72,1.34,1.2,1.34,29.16666667,0.35,12.5,25,37.5,25,29.16666667,0.833333333,16.66666667,0.125,0.25,0.125,0.166666667,0.541666667,0,0,0.5,0.166666667,1,0,0,0.333333333,0.75,1.25,1,1,50,41.66666667,8.333333333,21.83333333,0.916666667,41.51651652,14.48378952,58.48348348,0,0,0,0,0
27,0,0,0,0,10.9,10.2,12.7,1643,1896,1770,5309,0,3.95,3.89625,4.2875,4.044583333,0.770860497,0.359375,0.312307692,0.48375,0.39,0.146411624,0.62,0.48,0.72,0.72,10.3707265,0,29.16666667,4.166666667,33.33333333,4.166666667,62.5,0,66.66666667,62.5,0.416666667,0.574,0.216,0.407291667,0.325234708,1.15,1.46,0.4,1.46,16.66666667,0.714285714,12.5,0,12.5,8.333333333,62.5,1.166666667,33.33333333,0.125,0.125,1,0.416666667,0.708333333,1,0.75,0.5,0.75,0.5,1.25,0,0.583333333,0.75,0.25,2.5,1.166666667,12.5,54.16666667,33.33333333,40.625,1.291666667,35.28528529,13.82946016,64.71471471,0,0,0,0,0
29,0,0,0,0,14.2,9.43,10.97,334,333,217,884,0,1.575,1.7625,1.1625,1.5,0.546928181,0.27,0.157777778,0.128888889,0.182307692,0.130638668,0.68,0.28,0.18,0.68,8.227848101,0,19.23076923,0,19.23076923,7.692307692,73.07692308,0,80.76923077,73.07692308,0.095,0.09875,0.196666667,0.128846154,0.120808176,0.28,0.31,0.49,0.49,29.16666667,0.333333333,62.5,50,0,37.5,33.33333333,1.75,58.33333333,0.375,0.125,0,0.166666667,0.208333333,0,0,0,0,0.5,0,0.25,0.25,2,0,0,0.666666667,8.333333333,75,16.66666667,37.5,0.583333333,52.02702703,13.47809671,47.97297297,0,0,0,0,0
32,0,0,0,0,15.3,8.32,10.88,400,396,435,1231,0,1.875,1.8125,2.0375,1.908333333,0.529081786,0.2975,0.305,0.2675,0.29,0.113750299,0.5,0.56,0.38,0.56,6.58045977,0,16.66666667,0,16.66666667,20.83333333,62.5,0,83.33333333,62.5,0.4125,0.47625,0.4,0.429583333,0.226091155,0.99,0.95,0.83,0.99,20.83333333,0.791666667,0,0,0,0,79.16666667,1.416666667,41.66666667,0.625,0.125,0.375,0.375,0.291666667,1.25,1,2,1.416666667,0.25,0,0,0.083333333,0,0,0.25,0.083333333,4.166666667,45.83333333,50,50.625,0.291666667,58.33333333,15.89430048,41.66666667,0,0,0,0,0
34,1,1,1,0,13.9,8.39,12.09,1054,701,1411,3166,0.303221731,2.5125,2.95,4.325,3.2625,1.436727108,0.27,0.183333333,0.448333333,0.300555556,0.182286187,0.68,0.36,0.84,0.84,10.85489834,0,8.571428571,5.714285714,14.28571429,2.857142857,77.14285714,5.714285714,85.71428571,77.14285714,0.12,0.138181818,0.095454545,0.116666667,0.132944672,0.53,0.57,0.28,0.57,16.66666667,0.333333333,50,50,50,50,33.33333333,1.083333333,25,0.25,0.375,0.125,0.25,0.541666667,0,0.25,1,0.416666667,1.25,0.75,0.5,0.833333333,0.5,0.5,2.25,1.083333333,8.333333333,62.5,29.16666667,42.91666667,1.041666667,28.15315315,13.19604919,71.84684685,0,0,0,0,0
35,1,1,0,0,12.2,8.45,12.21,2124,1764,1950,5838,1.74717369,8.2875,3.9125,5.575,5.925,2.701730524,0.415625,0.333333333,0.28875,0.347045455,0.271906102,1.5,0.78,0.58,1.5,17.07269155,0,13.63636364,0,13.63636364,6.818181818,75,4.545454545,86.36363636,75,0.115466667,0.311666667,0.19,0.195727273,0.189877606,0.55,0.65,0.5,0.65,29.16666667,0.375,37.5,37.5,25,33.33333333,37.5,1.166666667,25,0,0.25,0,0.083333333,0.5,0.75,0,0.25,0.333333333,0.5,0.75,1.5,0.916666667,1,1,0.25,0.75,25,66.66666667,4.166666667,28.13043478,0.625,71.93958665,14.00436016,28.06041335,0,0,0,0,0
36,0,0,0,0,19.7,8.72,11.66,360,280,190,830,0,2.3375,2.8875,1.9,2.375,0.901327523,0.245454545,0.275,0.229090909,0.250588235,0.135332165,0.5,0.62,0.48,0.62,9.477699531,0,11.76470588,47.05882353,58.82352941,23.52941176,17.64705882,0,41.17647059,47.05882353,0.323,0.270909091,0.332,0.311764706,0.196182824,0.64,0.83,0.64,0.83,12.5,0.791666667,0,25,0,8.333333333,79.16666667,0.5,25,0,0,0,0,0.666666667,0.25,0.5,1,0.583333333,0.25,0,0,0.083333333,0,0.5,0,0.166666667,4.166666667,58.33333333,37.5,46.875,0.916666667,89.11411411,10.34956482,10.88588589,0,0,0,0,0
38,0,0,0,0,11.8,8.55,10.5,891,471,525,1887,1.144674086,2.6625,2.325,2.025,2.3375,0.526524701,0.353333333,0.471666667,0.390769231,0.404864865,0.154139576,0.56,0.7,0.58,0.7,5.773531375,0,43.24324324,0,43.24324324,18.91891892,37.83783784,0,56.75675676,43.24324324,0.224545455,0.17,0.295,0.238108108,0.125716565,0.35,0.29,0.55,0.55,8.333333333,0.833333333,0,25,0,8.333333333,83.33333333,0.333333333,16.66666667,0.125,0.125,0,0.083333333,0.416666667,2.5,2.75,1,2.083333333,0,0,0,0,0.75,2,0.75,1.166666667,0,75,25,46.66666667,0.833333333,95.03051439,2.841323332,4.969485615,0,0,0,0,0
41,0,0,0,0,21.7,8.92,15.05,260,208,391,859,0,2.85,2.125,3.1875,2.720833333,0.927820807,0.271666667,0.14,0.34,0.253714286,0.145016951,0.4,0.24,0.76,0.76,10.72400526,0,60,0,60,0,40,0,40,60,0.072727273,0.207,0.078181818,0.108857143,0.158406986,0.3,0.56,0.57,0.57,16.66666667,0.291666667,50,25,87.5,54.16666667,37.5,0.75,25,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.75,0.5,2,1.083333333,8.333333333,75,16.66666667,38.95833333,1.708333333,57.50750751,14.63197769,42.49249249,0,0,0,0,0
48,0,0,0,0,15,8.58,14.08,698,603,658,1959,0,4.0625,3.5125,2.8125,3.4625,1.04997412,0.18,0.26,0.218571429,0.220444444,0.133177181,0.44,0.54,0.66,0.66,15.70690524,0,11.11111111,0,11.11111111,6.666666667,82.22222222,0,88.88888889,82.22222222,0.276666667,0.15375,0.278571429,0.233555556,0.204718827,0.61,0.62,0.76,0.76,41.66666667,0.458333333,0,25,12.5,12.5,45.83333333,1.666666667,50,0.625,0.75,0.125,0.5,0.166666667,0,0.5,0.25,0.25,0,0.25,0,0.083333333,1,1,0.25,0.75,16.66666667,33.33333333,50,45.625,1.083333333,33.93393393,17.04857672,66.06606607,0,0,0,0,0
