"uid","HUC_Site","HUC8","Site","Year","avgT","sdT","MAXT","MEANT","RNGT","pctex21","Easting","Northing","richness","total_ab","SGCN_pres","SGCN_rich","SGCN_ab","BKT","BRT","BKT_BRT","BK_BR_RB"
26,"UPI_86","UPI","86",2018,11.6331719219219,1.30012468353735,19.7577777777778,14.5513657407407,8.23,0,598392.753215,4809896.733,7,98,0,0,0,0,1,0,0
27,"UPI_93","UPI","93",2018,13.6324242992993,1.47206330278864,19.3772222222222,16.1285648148148,6.20444444444444,0,610254.040474,4807531.8953,5,67,1,1,5,1,0,0,0
28,"UPI_96","UPI","96",2018,18.0774868618619,2.61631699434759,24.9311111111111,22.2465046296296,6.95833333333333,14.3018018018018,595823.760845,4787549.82554,9,413,1,1,164,0,0,0,0
29,"UPI_108","UPI","108",2018,NA,NA,NA,NA,NA,NA,605375.923316,4785175.7019,8,90,1,1,1,0,0,0,0
30,"UPI_109","UPI","109",2018,15.5147766516517,2.09942794302654,21.5688888888889,18.9732638888889,6.38166666666667,0.45045045045045,613456.340385,4812413.90671,3,22,1,1,1,0,1,0,0
31,"UPI_117","UPI","117",2018,12.8926457707708,1.56092380918462,21.4727777777778,16.6258796296296,8.10777777777778,0.225225225225225,630156.830183,4803439.95123,3,122,1,2,29,1,1,1,0
32,"UPI_118","UPI","118",2018,17.9056412662663,2.36773499127652,23.5811111111111,21.9840509259259,4.09277777777778,9.23423423423423,585477.881371,4812513.79027,13,237,1,2,14,0,0,0,0
33,"UPI_123","UPI","123",2018,16.3093812562563,1.76082646193506,21.1872222222222,18.4933101851852,5.72444444444444,0.225225225225225,606312.881484,4793132.07951,7,76,0,0,0,0,1,0,0
34,"UPI_128","UPI","128",2018,16.0193712462462,1.60925215222828,21.1872222222222,18.5765277777778,7.07944444444444,0.112612612612613,604638.732016,4784170.67887,1,25,0,0,0,0,0,0,0
35,"UPI_130","UPI","130",2018,14.2829823573574,2.30493112895279,21.6638888888889,18.2037731481481,8.83,0.225225225225225,607593.694824,4810319.11704,4,42,1,2,20,1,1,1,0
36,"UPI_135","UPI","135",2018,15.859715965966,1.40355921084633,20.3288888888889,19.2979166666667,4.48222222222223,0,578851.387511,4798626.63573,6,90,1,1,4,0,0,0,0
37,"UPI_149","UPI","149",2018,13.6347685185185,1.54186977375105,20.615,16.5852546296296,7.53888888888889,0,611899.311345,4805809.69479,5,303,1,1,116,1,1,1,0
38,"UPI_154","UPI","154",2018,15.2284841091091,2.1255081452109,20.9011111111111,18.4892592592593,5.91222222222222,0,597363.689484,4804117.23327,5,204,1,1,38,1,1,1,0
39,"UPI_156","UPI","156",2018,10.161534034034,0.384552216816771,11.625,10.7275925925926,1.76388888888889,0,591564.575501,4800771.16878,2,27,1,1,20,1,1,1,0
40,"UPI_157","UPI","157",2018,14.6140015015015,1.89131224092603,21.1872222222222,19.7186342592593,6.77111111111111,0.337837837837838,610163.18218,4816907.32839,8,353,1,2,25,1,1,1,1
41,"UPI_163","UPI","163",2018,14.7485241491491,1.51744517154701,20.9961111111111,18.1166898148148,6.76611111111112,0,621497.356279,4815118.42693,2,162,1,1,99,0,1,0,0
42,"UPI_170","UPI","170",2018,17.0161211211211,2.20136059419333,22.7172222222222,19.8069907407407,7.09722222222222,3.26576576576577,608772.147617,4809759.40298,1,159,0,0,0,0,0,0,0
43,"UPI_14b","UPI","14b",2018,13.6783602352352,1.98476858324735,20.9961111111111,18.140162037037,8.595,0,633778.293129,4814158.79892,3,24,0,0,0,0,1,0,0
44,"UPI_32b","UPI","32b",2018,16.0572891641642,2.19976824977795,22.0461111111111,20.1396759259259,6.1261111111111,1.01351351351351,609452.566199,4785924.81474,4,64,0,0,0,0,0,0,0
45,"UPI_57b","UPI","57b",2018,18.1631131131131,2.989380593359,33.3261111111111,23.8612037037037,13.6733333333333,14.3018018018018,579568.509547,4815377.87164,7,37,1,1,2,0,0,0,0
46,"UPI_201","UPI","201",2018,12.1893931431431,1.09751001660127,17.855,14.2394444444444,5.45388888888889,0,598236.572564,4811099.25178,3,62,0,0,0,0,1,0,0
47,"UPI_202","UPI","202",2018,13.3164614614615,2.00971895967998,19.8527777777778,17.0815972222222,4.475,0,586001.658461,4809933.10747,3,91,0,0,0,0,1,0,0
48,"YEL_1","YEL","1",2018,17.5538863863864,2.6138696442159,23.8688888888889,22.05375,7.26333333333334,10.472972972973,625611.080973,4770069.29646,8,279,1,1,1,0,1,0,0
49,"YEL_4","YEL","4",2018,14.9207094594595,4.13438572881878,32.6,21.9464583333333,19.5805555555556,9.12162162162162,638618.163216,4768058.4533,2,76,0,0,0,0,1,0,0
50,"YEL_17","YEL","17",2018,17.1538100600601,3.4542994759109,28.3572222222222,23.1765046296296,14.5872222222222,13.963963963964,621841.071868,4770733.78284,8,59,0,0,0,0,1,0,0
51,"YEL_20","YEL","20",2018,17.6584553303303,2.34445270117714,23.7727777777778,20.9804166666667,6.32277777777778,7.77027027027027,633531.592709,4770662.20047,6,173,0,0,0,0,1,0,0
52,"YEL_25","YEL","25",2018,15.4952784034034,1.73894182365422,21.2822222222222,18.6203009259259,5.45388888888889,0.225225225225225,609079.904881,4775692.72476,4,16,1,1,5,1,0,0,0
53,"YEL_29","YEL","29",2018,18.9616485235235,2.67744671814758,24.7377777777778,23.3497453703704,4.665,24.6621621621622,623900.116162,4793833.68443,7,137,0,0,0,0,1,0,0
54,"YEL_33","YEL","33",2018,NA,NA,NA,NA,NA,NA,625283.275438,4782809.07795,0,0,0,0,0,0,0,0,0
55,"YEL_36","YEL","36",2018,NA,NA,NA,NA,NA,NA,630274.943452,4778692.0245,1,36,0,0,0,0,0,0,0
56,"YEL_39","YEL","39",2018,14.3789996246246,2.80770795363155,21.9511111111111,20.3731712962963,7.935,1.46396396396396,644593.783239,4799628.16959,3,22,0,0,0,0,0,0,0
57,"YEL_40","YEL","40",2018,17.4095651901902,3.04447443749466,27.37,22.7101157407407,14.6661111111111,11.3738738738739,627166.940974,4772479.91574,5,226,1,1,7,0,1,0,0
58,"YEL_41","YEL","41",2018,17.6083395895896,2.28004201780373,25.805,21.8590509259259,9.06388888888889,9.45945945945946,609710.44401,4780101.57732,12,318,1,1,16,0,0,0,0
59,"YEL_52","YEL","52",2018,17.2373154404404,2.23885328860713,22.6211111111111,20.7306944444444,5.23611111111111,3.49099099099099,625892.698926,4769759.91992,6,26,1,1,1,0,1,0,0
60,"YEL_56","YEL","56",2018,NA,NA,NA,NA,NA,NA,633348.116035,4777277.40529,9,161,1,1,94,0,1,0,0
61,"YEL_57","YEL","57",2018,19.8336949449449,2.3295812895392,26.0972222222222,23.8886111111111,4.49055555555556,30.9684684684685,609984.809777,4775209.14234,10,149,1,1,17,0,0,0,0
62,"YEL_65","YEL","65",2018,16.9411636636637,2.85895179758205,26.7811111111111,20.635625,16.4238888888889,8.22072072072072,613051.098242,4776106.93675,9,84,1,1,3,0,1,0,0
63,"YEL_73","YEL","73",2018,17.6376889389389,2.06140819437131,23.1,20.9844444444444,4.76333333333333,5.06756756756757,610930.787906,4776301.34992,13,155,1,2,7,0,1,0,0
64,"YEL_77","YEL","77",2018,17.797088963964,2.32342474918846,23.7727777777778,21.5436805555556,6.86277777777779,8.33333333333333,624764.498515,4789210.30297,12,279,1,2,69,0,1,0,0
65,"YEL_80","YEL","80",2018,NA,NA,NA,NA,NA,NA,643342.975208,4771880.85138,2,24,1,1,6,0,0,0,0
66,"YEL_82","YEL","82",2018,16.3886749249249,4.11019330729113,35.0088888888889,23.638587962963,20.33,13.0630630630631,638363.356756,4793514.74624,2,108,1,1,52,0,1,0,0
67,"YEL_101","YEL","101",2018,17.3414670920921,1.77661876623557,22.9077777777778,20.3228009259259,6.38777777777778,2.59009009009009,602055.349831,4778361.13981,9,311,1,1,9,0,0,0,0
68,"YEL_103","YEL","103",2018,15.3317173423423,1.36823099504039,21.4727777777778,17.9855324074074,6.19055555555556,0.112612612612613,639595.890613,4806827.00929,4,64,1,1,37,1,1,1,0
69,"YEL_105","YEL","105",2018,13.6240890890891,2.03481836546603,20.5188888888889,16.532662037037,6.98,0,624501.04904,4785143.52355,2,30,0,0,0,0,0,0,0
70,"YEL_113","YEL","113",2018,18.6619557057057,3.07847690766009,27.8622222222222,24.0832407407407,11.0888888888889,21.3963963963964,622463.518489,4770251.64451,5,69,0,0,0,0,0,0,0
71,"YEL_119","YEL","119",2018,16.0241372622623,2.34878738489929,21.6638888888889,19.9325462962963,8.51888888888889,1.35135135135135,650258.511764,4786402.18677,8,314,1,1,9,0,0,0,0
72,"YEL_120","YEL","120",2018,NA,NA,NA,NA,NA,NA,631513.961671,4776624.63285,7,81,1,1,10,0,1,0,0
