"uid","HUC_Site","HUC8","Site","Year","avgT","sdT","MAXT","MEANT","RNGT","pctex21","Easting","Northing","richness","total_ab","SGCN_pres","SGCN_rich","SGCN_ab","BKT","BRT","BKT_BRT","BK_BR_RB"
129,"YEL_168","YEL","168",2019,14.7480771693884,2.01700345930628,31.4722222222222,21.3062962962963,17.7222222222222,2.01729106628242,637729.758729,4764873.5566,4,128,0,0,0,0,1,0,0
130,"YEL_169","YEL","169",2019,14.5597813438438,2.07016384373452,32.1877777777778,21.3431944444444,17.575,1.26689189189189,619152.738441,4774220.44377,2,24,0,0,0,0,0,0,0
131,"YEL_173","YEL","173",2019,16.7865500524109,2.33021869470968,23.5811111111111,18.9626157407407,8.68388888888889,5.50314465408805,609425.297074,4780454.53504,7,173,0,0,0,0,0,0,0
132,"YEL_177","YEL","177",2019,18.3602573494881,2.38222113707857,31.5738888888889,22.2182175925926,12.8627777777778,11.0735418427726,620846.551979,4776021.54835,5,102,0,0,0,0,0,0,0
133,"YEL_189","YEL","189",2019,16.0289245796938,3.10405441386986,38.0461111111111,25.1571527777778,21.4283333333333,3.55029585798817,606171.114241,4777315.51615,5,40,0,0,0,0,0,0,0
134,"YEL_190","YEL","190",2019,16.9146868448637,2.36987867503728,31.0638888888889,22.4785648148148,14.2794444444444,2.75157232704403,632269.499273,4786008.58727,4,13,0,0,0,0,1,0,0
135,"LMAQ_8","LMAQ","8",2019,14.3146040132351,2.21520678161829,30.3561111111111,21.6325925925926,16.9911111111111,2.40153698366955,648199.590818,4754809.40032,6,84,1,1,2,0,1,0,0
136,"LMAQ_9","LMAQ","9",2019,15.1390021367521,2.33537291905566,31.4722222222222,21.2130324074074,14.7594444444444,2.98076923076923,650847.915063,4748613.10166,5,134,0,0,0,0,0,0,0
137,"LMAQ_15","LMAQ","15",2019,14.7325845874693,2.24393201090724,32.7038888888889,21.1512731481481,18.8577777777778,2.1133525456292,644815.347933,4758931.02726,6,91,1,1,1,1,1,1,1
138,"LMAQ_20","LMAQ","20",2019,14.9109431648539,2.17225761916772,32.0861111111111,21.3701157407407,17.9522222222222,2.97504798464491,648020.770536,4754463.9728,6,56,1,1,1,0,1,0,0
139,"LMAQ_22","LMAQ","22",2019,15.7697870637208,2.10633830744942,31.4722222222222,21.8175694444444,14.9494444444444,3.1700288184438,653979.61311,4739563.10625,4,77,0,0,0,0,0,0,0
140,"LMAQ_23","LMAQ","23",2019,13.6144268500746,2.18889802378249,31.2677777777778,21.2387962962963,18.2877777777778,2.20729366602687,642362.023139,4758386.95049,2,122,1,1,100,0,1,0,0
141,"LMAQ_26","LMAQ","26",2019,15.5015086989006,1.96802189967504,30.4572222222222,21.3024305555556,15.3661111111111,2.49759846301633,647303.526064,4757129.48995,6,54,0,0,0,0,1,0,0
