FID,FID_1,newID,Xcoord,Ycoord,HUC8,site,BKT,BRT,Trout_Stat,FID_2,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,IGS_name
43,125,YEL_49,623397.990457999985665,4777127.992049999535084,YEL,49,0,1,1,6,07060001,0706000109,070600010905,38251.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010906,Middle Yellow River,TF,S,IA01,IA,Middle Yellow River
44,126,YEL_5,617438.878887000028044,4771835.831709999591112,YEL,5,0,0,0,6,07060001,0706000109,070600010905,38251.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010906,Middle Yellow River,TF,S,IA01,IA,Middle Yellow River
45,132,YEL_81,620882.613428000011481,4775908.433939999900758,YEL,81,0,1,1,6,07060001,0706000109,070600010905,38251.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010906,Middle Yellow River,TF,S,IA01,IA,Middle Yellow River
46,136,YEL_97,624780.047079000039957,4777177.203150000423193,YEL,97,0,1,1,6,07060001,0706000109,070600010905,38251.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010906,Middle Yellow River,TF,S,IA01,IA,Middle Yellow River
47,78,YEL_119,650258.511764000053518,4786402.186769999563694,YEL,119,0,0,0,7,07060001,0706000110,070600011001,37435.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,"DM,TF",S,070600011003,Picatee Creek-Mississippi River,"DM,TF",M,IA01,"IA,WI",Mississippi River
48,80,YEL_150,645761.170457000029273,4789130.837039999663830,YEL,150,0,0,0,7,07060001,0706000110,070600011001,37435.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,"DM,TF",S,070600011003,Picatee Creek-Mississippi River,"DM,TF",M,IA01,"IA,WI",Mississippi River
49,74,YEL_80,643342.975208000047132,4771880.851379999890924,YEL,80,0,0,0,8,07060001,0706000109,070600010906,30151.000000000000000,0.000000000000000, , ,0706000110,Yellow River,TF,S,070600011003,Lower Yellow River,TF,S,IA01,IA,Lower Yellow River
50,25,YEL_4,638618.163215999957174,4768058.453300000168383,YEL,4,0,1,1,9,07060001,0706000110,070600011002,24134.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,TF,S,070600011003,Bloody Run,TF,S,IA01,IA,Bloody Run-Mississippi River
51,109,YEL_140,640991.449295999947935,4766182.929039999842644,YEL,140,0,1,1,9,07060001,0706000110,070600011002,24134.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,TF,S,070600011003,Bloody Run,TF,S,IA01,IA,Bloody Run-Mississippi River
52,113,YEL_168,637729.758728999993764,4764873.556599999777973,YEL,168,0,1,1,9,07060001,0706000110,070600011002,24134.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,TF,S,070600011003,Bloody Run,TF,S,IA01,IA,Bloody Run-Mississippi River
53,121,YEL_28,639665.630985000054352,4767067.119169999845326,YEL,28,0,1,1,9,07060001,0706000110,070600011002,24134.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,TF,S,070600011003,Bloody Run,TF,S,IA01,IA,Bloody Run-Mississippi River
54,124,YEL_44,635662.140316999983042,4764770.555049999617040,YEL,44,0,0,0,9,07060001,0706000110,070600011002,24134.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,TF,S,070600011003,Bloody Run,TF,S,IA01,IA,Bloody Run-Mississippi River
55,131,YEL_72,639947.077890999964438,4767137.516160000115633,YEL,72,0,1,1,9,07060001,0706000110,070600011002,24134.000000000000000,0.000000000000000, , ,0706000307,Bloody Run-Mississippi River,TF,S,070600011003,Bloody Run,TF,S,IA01,IA,Bloody Run-Mississippi River
56,45,LMAQ_24,642820.292328999959864,4755594.704909999854863,LMAQ,24,1,1,3,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
57,82,LMAQ_48,647939.276749999960884,4752925.816049999557436,LMAQ,48,0,0,0,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
58,86,LMAQ_15,644815.347932999953628,4758931.027259999886155,LMAQ,15,1,1,3,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
59,87,LMAQ_20,648020.770536000025459,4754463.972799999639392,LMAQ,20,0,1,1,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
60,89,LMAQ_23,642362.023139000055380,4758386.950489999726415,LMAQ,23,0,1,1,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
61,90,LMAQ_26,647303.526063999976031,4757129.489950000308454,LMAQ,26,0,1,1,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
62,91,LMAQ_8,648199.590818000026047,4754809.400320000015199,LMAQ,8,0,1,1,10,07060003,0706000307,070600030701,22838.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Sny Magill Creek,TF,S,IA01,IA,Sny Magill Creek
63,43,LMAQ_5,644627.945699000032619,4749374.735550000332296,LMAQ,5,0,1,1,11,07060003,0706000307,070600030703,22619.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030704,Buck Creek,TF,S,IA01,IA,Buck Creek-Mississippi River
