"uid","HUC8","Site","OutletX","OutletY","HAiFLS_alt","HAiFLS_bmp","HAiFLS_ag","HAiFLS_dev","HAiFLS_for","HAiFLS_pas","Easting","Northing","YrSmpld","Order","SegLen","elev_m","Sinuosity","pctSlope","dgreSlope","CatArea_km2"
"UPI_10","UPI",10,-91.832251645,43.439358403,90.6259918,9.3537235,71.1617584,6.0576077,0.0171744,13.40662,594773.594265,4810696.30381,2018,4,815.304845227,365.914550781,1.29537339305,1.2751118955,0.0127504279499,18.1424096868
"UPI_86","UPI",86,-91.755504463,43.424746352,75.464859,24.5351372,36.1588211,1.2784119,16.0228348,38.0276299,598392.753215,4809896.733,2018,2,1170.1763973,348.092163086,1.30045034653,4.90593066329,0.0490200044722,3.47060526689
"UPI_154","UPI",154,-91.776216655,43.381403106,77.6332779,21.9935017,57.3743019,9.89114,13.6107121,10.367837,597363.689484,4804117.23327,2018,3,1288.20496471,311.518035889,1.47805298112,0.58209764105,0.0058209106663,12.0185988824
"UPI_34","UPI",34,-91.670324786,43.378533029,63.3477173,36.2947655,13.2846823,0.3131506,35.5497017,49.7498817,607495.531749,4803850.27072,2018,3,333.091772835,275.348327637,1.12403704979,13.6326989144,0.135491735606,5.64815626478
"UPI_123","UPI",123,-91.680237021,43.289274888,72.9326935,26.9482479,43.2231598,4.0334439,23.0814247,25.6760864,606312.881484,4793132.07951,2018,4,436.919014263,268.198516846,1.32277261271,0.163439000522,0.00163438854994,22.5305728664
"UPI_11","UPI",11,-91.693543736,43.280004949,38.6119499,61.3880501,1.0174063,7.3888688,61.3778419,30.205677,605640.747388,4792396.93398,2018,1,2363.3243892,289.087463379,1.27124866448,7.23810199284,0.0722550141011,1.81014783852
"UPI_84","UPI",84,-91.902224824,43.243390949,91.6177826,8.3822136,54.4314423,0.0801027,7.4522662,37.1062431,588903.675909,4788524.6223,2018,1,2557.80725007,338.619293213,1.13295817526,1.16846509682,0.0116841192391,2.32304687501
"UPI_36","UPI",36,-91.893506347,43.243206237,90.6212006,9.3787985,68.5173645,1.0149901,8.3160257,21.0888443,589390.184109,4788416.8675,2018,3,859.58563923,334.405853271,1.25290971128,1.45495632031,0.0145485366688,2.77933250175
"UPI_27","UPI",27,-91.676716157,43.237976036,92.6484375,7.2487516,67.0242691,3.5147047,3.1386724,22.1094666,608155.901524,4787618.95285,2018,3,740.021531416,332.604644775,1.29666334617,21.5325456731,0.212087216394,6.83745573936
"UPI_32","UPI",32,-91.65228425,43.220020651,95.1725464,4.8272815,89.9392395,2.2456043,0,2.9877038,609596.874493,4786234.73062,2018,2,1085.65832816,346.347595215,1.27440367446,16.0712811521,0.159350203829,3.99869530802
