"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","numIntolSP","pctTOLindv","pctTC_noRBT","pctCW_noRBT","pctBKT_noRBT","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","ML1_numIntolSp","ML2_pctTolindv","ML3_pctTCnoRBT","ML4_pctCWnoRBT","ML5_pctBKTnoRBT","IBIScore_M","Rating_M","IBIScore_L","Rating_L"
37,"UPI","149",5,298,303,3,2,1,1,299,98.6798679867987,116,38.2838283828383,298,38.9261744966443,0.66006600660066,98.3498349834984,99.6666666666667,4,1.33333333333333,1,1.32013201320132,98.3498349834984,98.6798679867987,38.9261744966443,5,5,10,10,5,5,5,10,5,10,10,10,10,20,20,20,10,90,"Good",80,"Good"
38,"UPI","154",5,110,204,3,2,0,1,110,53.921568627451,38,18.6274509803922,110,34.5454545454545,45.5882352941176,53.921568627451,47.008547008547,94,40.1709401709402,1,46.078431372549,53.921568627451,53.921568627451,34.5454545454545,5,5,10,10,5,5,5,5,0,5,5,5,10,0,20,10,10,65,"Fair",50,"Fair"
39,"UPI","156",2,27,27,2,0,0,0,27,100,20,74.0740740740741,27,74.0740740740741,0,100,19.8529411764706,0,0,1,0,100,100,74.0740740740741,10,5,10,10,10,5,10,10,10,10,0,10,10,20,20,20,10,100,"Good",80,"Good"
40,"UPI","157",8,162,353,5,3,2,2,187,52.9745042492918,25,7.08215297450425,162,1.23456790123457,44.1926345609065,45.8923512747875,62.3333333333333,166,55.3333333333333,2,47.0254957507082,45.6090651558074,52.6912181303116,1.24223602484472,5,10,5,5,5,0,0,5,0,5,5,5,20,0,20,10,0,50,"Fair",50,"Fair"
41,"UPI","163",2,63,162,2,0,0,1,162,100,99,61.1111111111111,63,0,0,38.8888888888889,135,0,0,1,0,38.8888888888889,100,0,10,5,10,10,10,0,10,10,10,5,10,10,10,20,10,20,0,100,"Good",60,"Good"
42,"UPI","170",1,0,159,1,0,0,0,159,100,0,0,0,NA,0,0,159,0,0,0,0,0,100,0,10,0,10,10,10,NA,0,10,10,0,10,10,0,20,0,20,0,80,"Good",40,"Fair"
44,"UPI","32b",4,0,64,1,2,1,2,9,14.0625,0,0,0,NA,3.125,0,9,55,55,0,82.8125,0,14.0625,0,10,0,10,5,5,NA,0,0,0,0,0,5,0,0,0,0,0,35,"Fair",0,"Very Poor"
49,"YEL","4",2,75,76,1,0,0,1,75,98.6842105263158,0,0,75,0,0,98.6842105263158,31.25,1,0.416666666666667,0,0,98.6842105263158,98.6842105263158,0,10,0,10,10,10,0,0,10,10,10,0,10,0,20,20,20,0,80,"Good",60,"Good"
51,"YEL","20",6,72,173,1,2,3,2,72,41.6184971098266,0,0,72,0,0,41.6184971098266,24,101,33.6666666666667,0,25.4335260115607,41.6184971098266,41.6184971098266,0,5,0,5,5,5,0,0,0,10,5,0,5,0,0,10,0,0,40,"Fair",10,"Poor"
58,"YEL","41",12,5,318,0,4,6,4,0,0,0,0,0,NA,15.0943396226415,1.57232704402516,0,318,106,0,57.5471698113208,1.57232704402516,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor",0,"Very Poor"
