FID,HUC8,Site,POINT_X,POINT_Y,rcf,floAcc_utm
73,UPI,16,-91.696421251000004,43.204197504000000,0,41241.0000000
74,UPI,128,-91.725141285000007,43.222807234999998,0,68310.0000000
75,YEL,119,-91.155556513999997,43.205512890000001,0,288718.0000000
76,YEL,105,-91.473082641999994,43.195699763000000,0,73802.0000000
77,YEL,109,-91.639236483000005,43.189980759000001,0,19014.0000000
78,YEL,50,-91.288848983999998,43.184383488000002,0,71690.0000000
79,YEL,33,-91.452798637000001,43.164952647000000,0,44938.0000000
80,YEL,157,-91.656554188000001,43.190158380000000,0,35272.0000000
81,YEL,42,-91.437992432000001,43.179909948000002,0,111258.0000000
82,YEL,41,-91.648984732000002,43.163146728000001,0,90037.0000000
83,YEL,193,-91.468267693000001,43.162238158000001,0,745274.0000000
84,YEL,204,-91.541332272999995,43.164323672999998,0,5827.0000000
85,YEL,202,-91.690236420999994,43.168488109999998,0,15633.0000000
86,YEL,173,-91.653223201000003,43.168879283999999,0,64342.0000000
87,YEL,89,-91.671301825000000,43.174819564000003,0,25604.0000000
88,YEL,21,-91.632357515999999,43.176515211000002,0,23550.0000000
89,YEL,53,-91.752002834999999,43.154288072000000,0,19013.0000000
90,YEL,85,-91.581679373000000,43.156425591000001,0,133350.0000000
91,YEL,36,-91.387441534000004,43.135438792999999,0,62393.0000000
92,YEL,101,-91.733848152999997,43.149657335999997,0,89609.0000000
93,YEL,121,-91.697745592000004,43.143330319999997,0,11682.0000000
94,YEL,9,-91.693824212999999,43.143106140000000,0,234755.0000000
95,YEL,153,-91.703595929000002,43.146928180000003,0,213904.0000000
96,YEL,73,-91.635416461999995,43.137725494000001,0,123174.0000000
97,YEL,65,-91.610401636999995,43.131008069000004,0,60438.0000000
98,YEL,120,-91.376962055000007,43.130154937000000,0,247167.0000000
99,YEL,56,-91.359924413000002,43.133510510000001,0,128562.0000000
100,YEL,165,-91.656576814000005,43.140044547999999,0,438654.0000000
101,YEL,189,-91.694064992999998,43.141130521000001,0,52502.0000000
102,YEL,37,-91.627774063999993,43.124003749000003,0,25362.0000000
103,YEL,49,-91.478808944999997,43.137335958000001,0,303837.0000000
104,YEL,97,-91.465771649000004,43.136950876999997,0,129199.0000000
105,YEL,25,-91.658020351999994,43.126126761000002,0,47938.0000000
106,YEL,57,-91.646768515000005,43.125376400999997,0,42385.0000000
107,YEL,177,-91.513113696000005,43.127777961000000,0,24093.0000000
108,YEL,81,-91.513026026000006,43.127393230999999,0,198143.0000000
109,YEL,169,-91.535676391999999,43.112140154999999,0,13875.0000000
110,YEL,80,-91.231521670999996,43.085423570000003,0,161708.0000000
111,YEL,40,-91.432461928999999,43.096540830000002,0,435292.0000000
112,YEL,5,-91.557159437999999,43.089651240000002,0,18153.0000000
113,YEL,129,-91.513774432000005,43.080567463000001,0,41303.0000000
114,YEL,20,-91.359165421000000,43.088004408000003,0,151226.0000000
115,YEL,113,-91.493903021999998,43.076832994000000,0,35123.0000000
116,YEL,52,-91.454559058000001,43.072198012000001,0,22785.0000000
117,YEL,17,-91.494172309000007,43.077177628000001,0,113815.0000000
118,YEL,161,-91.469033629999998,43.075458314999999,0,225454.0000000
119,YEL,1,-91.454891644000000,43.072168658999999,0,291115.0000000
120,YEL,24,-91.375970891999998,43.075673651000002,0,87598.0000000
121,YEL,4,-91.292796398999997,43.046789550000000,0,167765.0000000
122,YEL,140,-91.268695876999999,43.035627400000003,0,71513.0000000
123,YEL,28,-91.283861052000006,43.042714070000002,0,207778.0000000
124,YEL,72,-91.282064481999996,43.043320450000003,0,20209.0000000
125,YEL,168,-91.309536656999995,43.023784554999999,0,112619.0000000
126,YEL,44,-91.334703460000000,43.023507535999997,0,162608.0000000
127,LMAQ,15,-91.224168427999999,42.969318538000003,0,103348.0000000
128,LMAQ,23,-91.251943299999994,42.964415631000001,0,27932.0000000
129,LMAQ,26,-91.194272007999999,42.952539168999998,0,96130.0000000
130,LMAQ,24,-91.245072325999999,42.938389127999997,0,72131.0000000
131,LMAQ,8,-91.184966342999999,42.928855102000000,0,85526.0000000
132,LMAQ,20,-91.186057663000000,42.928414832000001,0,27199.0000000
133,LMAQ,48,-91.185835776999994,42.927911371000000,0,37461.0000000
134,LMAQ,2828,-91.218718523000007,42.901127150999997,0,68170.0000000
135,LMAQ,5,-91.206478074000003,42.883352985000002,0,62188.0000000
136,LMAQ,9,-91.152929029000006,42.872778236999999,0,23982.0000000
137,LMAQ,17,-91.180138673000002,42.847707249999999,0,94988.0000000
138,LMAQ,22,-91.115176364000007,42.786868796000000,0,47910.0000000
139,LMAQ,61,-91.110176365000001,42.778998426000001,0,270762.0000000
140,LMAQ,10,-91.096843031000006,42.754091019000001,0,41101.0000000
