"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
3663,619578.513842,4782407.06585,142409,11.3409,1.0712539,0.415884699165604,0.0609192091240347,0.303391691791648,0.537881748073198
3664,620818.938148,4782161.47252,34076,2.71369,1.1207937,0.274724556077878,0.0631279923620197,0.169137673734211,0.413427536024907
3665,617054.31681,4782165.01595,308312,24.5528,9.996213,0.703232281777333,0.0878475492674777,0.509429301102577,0.843928474870789
3666,620668.701825,4782161.20247,160012,12.7428,100,0.913450948162094,0.049284760492199,0.756701830439949,0.972836850541904
3667,621496.966778,4781969.05481,21241,1.69155,4.5603848,0.27777256770224,0.063842467468294,0.170899708990812,0.417800143559458
3668,611744.795247,4781986.20752,43929,3.49834,0,0.280365742910811,0.0626515217770007,0.174903849601327,0.417259722816456
3669,611821.984392,4782068.6702,14615,1.16388,0.4425251,0.249333979971686,0.0645768697773545,0.144500650362219,0.395097722297724
3670,614084.539807,4781914.16066,41360,3.29376,0.5242065,0.280112830385166,0.0627035412977152,0.174601722800604,0.41715936246742
3671,613774.682906,4781947.02849,33557,2.67235,0.6412217,0.271626709103332,0.0632499959314157,0.166176260710841,0.411008732339329
3672,617017.349986,4781860.26978,313739,24.985,9.8872013,0.709212165912835,0.0887413402604633,0.512043667619618,0.850042910629906
3673,614568.711369,4781947.02849,48424,3.85631,0.5387552,0.288581233459419,0.062188556441046,0.183025552473035,0.423459625459794
3674,616951.691073,4781845.99921,84070,6.69502,3.9247949,0.353101069559933,0.058028224192621,0.249113302415893,0.473144737245857
3675,621336.903503,4782044.81333,197376,15.7183,2.0795779,0.501903719125777,0.0694880807442068,0.368846267802658,0.634692079879007
3676,612062.123106,4781791.30514,60840,4.84507,4.8371019,0.328026570870704,0.0595185281683966,0.223333006070525,0.453162562329927
3677,614986.629059,4781653.5994,56160,4.47237,1.158731,0.301350867606939,0.0614147881013726,0.195824067960028,0.433116915262209
3678,617398.782157,4781629.79632,399762,31.8356,9.0265551,0.797567620229556,0.0944018817460863,0.556055760559929,0.925335513503884
3679,621214.334449,4781573.59602,221912,17.6722,2.6703749,0.541486255698377,0.0750526785235565,0.395045172651055,0.68109499101531
3680,618603.648315,4781547.03271,10679,0.850436,0.0063306,0.242949093948801,0.0648068815835697,0.138574297678239,0.390318182586731
3681,616461.843118,4781636.69489,74274,5.9149,0,0.317451249597625,0.0607909260226424,0.211584617350924,0.446303052924785
3682,617682.5623,4781359.0461,405912,32.3253,9.2750149,0.804328432499064,0.0938145526952244,0.561010129762939,0.929686105884664
