"HUC8","Site","avgT","sdT","MAXT","MEANT","RNGT"
"UPI","48",16.1247053303303,1.94460355562918,21.2822222222222,18.699537037037,5.92333333333333
"UPI","10",15.3055305305305,1.94523348964251,20.805,18.4495601851852,6.605
"UPI","26",17.9214348702444,3.00894292494216,29.9527777777778,23.1805787037037,17.8011111111111
"UPI","27",17.02872997998,2.70428371561547,24.6411111111111,21.5668518518519,8.78888888888889
"UPI","11",13.1058896396396,2.2789770573031,20.1377777777778,16.7671759259259,8.33611111111111
"UPI","32",13.7694744744745,1.65604216120682,20.3288888888889,16.6847222222222,7.44611111111111
"LMAQ","24",14.9738338338338,1.557357910954,20.1377777777778,18.2475462962963,5.71666666666667
"UPI","8",18.7604122872873,2.16286186513157,23.9661111111111,21.9288194444444,5.72722222222222
"UPI","18",16.0150563063063,1.98256918946233,21.2822222222222,19.3814814814815,5.38611111111112
"LMAQ","28b",15.5357646396396,1.95151868298056,21.855,19.20675,5.753
"LMAQ","5",16.7971696696697,1.86491187976284,22.525,20.3291666666667,4.76833333333333
"YEL","150",15.5757094594595,1.42228176619237,21.9511111111111,18.4219444444444,6.76388888888889
"YEL","82",15.9243824891068,3.58867734222448,29.5522222222222,23.638587962963,20.33
"YEL","39",14.3789996246246,2.80770795363155,21.9511111111111,20.3731712962963,7.935
"UPI","156",10.161534034034,0.384552216816771,11.625,10.7275925925926,1.76388888888889
"UPI","84",16.1027884134134,1.58533546644298,21.0911111111111,18.9649305555556,4.69500000000001
"YEL","202",15.5838707457457,1.64515653732685,21.0911111111111,17.9342592592593,6.5738888888889
"LMAQ","10",13.025909034034,1.78703575165847,19.5672222222222,16.9863425925926,6.51888888888889
"LMAQ","61",19.0837743993994,2.19376952481201,24.6411111111111,22.6255555555556,6
"UPI","117",12.8926457707708,1.56092380918462,21.4727777777778,16.6258796296296,8.10777777777778
"UPI","202",13.3164614614615,2.00971895967998,19.8527777777778,17.0815972222222,4.475
"YEL","119",16.0241372622623,2.34878738489929,21.6638888888889,19.9325462962963,8.51888888888889
"UPI","93",13.6324242992993,1.47206330278864,19.3772222222222,16.1285648148148,6.20444444444444
"UPI","86",11.6331719219219,1.30012468353735,19.7577777777778,14.5513657407407,8.23
"YEL","204",11.0292655155155,0.927085074287763,14.23,13.6253240740741,2.91722222222222
"YEL","101",17.3414670920921,1.77661876623557,22.9077777777778,20.3228009259259,6.38777777777778
"UPI","154",15.2284841091091,2.1255081452109,20.9011111111111,18.4892592592593,5.91222222222222
"YEL","9",17.750494212963,2.07125394520171,23.5811111111111,20.6140277777778,6.66888888888889
"YEL","177",18.1324519675926,2.4239986338284,23.5811111111111,22.2182175925926,5.24611111111111
"LMAQ","23",13.2010630787037,1.20558134990801,16.6177777777778,14.7113194444444,4.33388888888889
"YEL","44",16.3923460648148,1.12834108668053,19.3772222222222,18.2315046296296,2.76222222222222
"YEL","28",14.8698634259259,2.69402734135137,22.1422222222222,16.9754398148148,9.45222222222222
"YEL","5",18.6415868055556,2.08887644254268,24.255,21.1086111111111,6.76666666666667
"UPI","23",14.2132395833333,1.30925662948571,17.855,15.4986574074074,4.60277777777777
"YEL","72",15.2368478009259,1.65632768222355,20.0427777777778,17.3987037037037,5.46277777777778
"LMAQ","26",15.1733391203704,1.34884557852974,18.8061111111111,16.9257407407407,4.19611111111111
"YEL","81",16.7385653935185,2.56651199812618,23.6772222222222,19.6090740740741,9.16
"UPI","78",16.5082459490741,3.40602592252089,26.0972222222222,19.4758796296296,12.4372222222222
"YEL","118b",14.0297627314815,1.14716795204746,17.76,16.6810185185185,3.27111111111111
"YEL","53",16.4255787037037,1.6848234819334,20.9011111111111,18.2474768518519,5.52388888888889
"YEL","50",15.7699137731481,2.5897231238437,23.0038888888889,18.1644212962963,9.35277777777778
"YEL","118",14.9940474537037,1.6912992816227,22.4288888888889,18.9690740740741,7.0511111111111
"YEL","37",15.2212928240741,1.63818454956933,20.1377777777778,16.9736111111111,6.1
"UPI","151",14.8809108796296,3.06126272493216,24.545,20.6827083333333,14.58
"YEL","140",14.5377228009259,1.76297705534806,19.8527777777778,16.4059027777778,6.71388888888889
"YEL","49",19.0030046296296,3.28902242293104,26.0972222222222,22.5975462962963,11.0777777777778
"YEL","54",19.2812181712963,2.30887649908075,25.61,21.7840740740741,7.43777777777779
"YEL","165",18.8398854166667,2.27742397654956,25.3188888888889,21.8503009259259,7.05277777777778
"YEL","89",14.4191811342593,1.6734006752177,19.4722222222222,17.7875462962963,4.23888888888889
"UPI","25",13.4407482638889,1.36014695829506,17.1888888888889,14.487662037037,4.90333333333334
"UPI","70",15.779494212963,1.86414740471632,20.615,18.287037037037,5.815
"UPI","78b",9.78940277777778,0.239547926931619,14.7088888888889,10.3484722222222,4.94111111111111
"LMAQ","15",14.3771417824074,1.56488469778218,18.9961111111111,16.4618981481481,5.44888888888888
"UPI","28",15.6670844907407,1.49832672251515,19.9477777777778,18.1602546296296,4.78000000000001
"LMAQ","9",14.6513391203704,1.48523352209843,18.7111111111111,16.3311111111111,5.25222222222222
"YEL","190",16.702828125,1.82904299896056,21.6638888888889,18.5170138888889,7.35055555555556
"YEL","157",13.7439994212963,1.62695398406807,18.6161111111111,15.4660648148148,6.22777777777778
"YEL","168",14.4294091435185,1.37542974201513,18.2361111111111,16.2077777777778,4.58222222222222
"YEL","189",15.2933211805556,1.96292642137495,20.9011111111111,17.0592824074074,6.96111111111112
"YEL","42",14.7905277777778,2.10971577453906,20.3288888888889,16.1628472222222,8.71833333333333
"UPI","153",9.67833333333333,0.0727132271590246,9.965,9.75951388888889,0.492777777777777
"YEL","85",19.0899137731481,2.31354535976302,25.125,22.76,6.09888888888889
"YEL","24",16.0172494212963,2.10340022715046,21.9511111111111,18.6837268518519,7.24722222222223
"YEL","169",14.0686927083333,1.45857905630104,17.855,16.625462962963,3.35444444444445
"UPI","73",12.309359375,1.34110560654088,16.0461111111111,13.6711111111111,5.19999999999999
"YEL","106",15.5002679398148,2.30968600308046,22.0461111111111,17.4660185185185,9.08277777777779
"YEL","154",18.4915063657407,2.03481521066469,24.4477777777778,22.5996759259259,3.35666666666666
"YEL","173",16.7693697916667,2.45268900799004,23.5811111111111,18.9626157407407,8.68388888888889
"YEL","97",12.7577881944444,0.938896049931333,15.4727777777778,13.9122685185185,3.37111111111111
"YEL","109",13.6021793981481,1.60612937624463,18.7111111111111,15.1001157407407,6.51499999999999
"LMAQ","22",15.3142314814815,1.22799497685022,18.6161111111111,16.8316435185185,4.77222222222222
"YEL","58",19.231197337963,2.3029158286739,24.9311111111111,22.1712268518519,6.57833333333333
"YEL","21",16.6641961805556,1.41039162700994,19.9477777777778,18.8737731481481,4.515
"YEL","121",16.2466984953704,2.17823996602362,22.4288888888889,18.4859722222222,7.72611111111111
"UPI","112",19.4633078703704,2.30512813355177,25.7077777777778,22.7942361111111,6.77444444444444
"LMAQ","8",13.9149363425926,1.37843214572074,18.14,15.3623148148148,5.06388888888888
"LMAQ","20",14.5370844907407,1.44948917741208,18.9961111111111,16.2021296296296,5.05388888888888
"YEL","153",17.8704224537037,2.49445319976611,24.545,20.4574768518519,8.29500000000001
