"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
94,"UPI","78",9,3,105,1,3,5,2,3,2.85714285714286,3,2.85714285714286,3,0,17.1428571428571,2.85714285714286,1,102,34,5,0,0,5,5,0,0,0,0,0,0,5,20,"Poor"
97,"UPI","151",3,50,51,3,0,0,1,51,100,1,1.96078431372549,50,0,0,98.0392156862745,17,0,0,10,5,10,10,10,0,0,10,10,10,0,10,85,"Good"
98,"UPI","153",5,3,138,4,0,0,2,132,95.6521739130435,126,91.304347826087,3,0,0,2.17391304347826,78.5714285714286,6,3.57142857142857,5,10,10,5,10,0,10,10,10,0,10,10,90,"Good"
100,"YEL","5",4,0,94,1,3,3,0,10,10.6382978723404,0,0,0,NA,0,0,8.92857142857143,84,75,10,0,5,10,5,NA,0,0,10,0,0,0,40,"Fair"
101,"YEL","9",14,0,1298,1,5,10,4,2,0.154083204930663,0,0,0,NA,6.62557781201849,0,0.666666666666667,1296,432,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
103,"YEL","24",6,12,100,1,2,2,2,12,12,0,0,12,0,0,12,6.66666666666667,88,48.8888888888889,5,0,5,5,5,0,0,0,10,0,0,5,35,"Fair"
104,"YEL","28",2,113,114,1,0,0,1,113,99.1228070175439,0,0,113,0,0,99.1228070175439,56.5,1,0.5,10,0,10,10,10,0,0,10,10,10,5,10,85,"Good"
105,"YEL","37",3,0,45,1,2,2,0,38,84.4444444444444,0,0,0,NA,0,0,38,7,7,10,0,5,10,5,NA,0,5,10,0,5,10,60,"Fair"
106,"YEL","42",9,28,427,2,4,4,3,45,10.5386416861827,0,0,28,0,0.234192037470726,6.55737704918033,15,382,127.333333333333,5,5,0,0,0,0,0,0,5,0,0,0,15,"Poor"
107,"YEL","44",4,0,165,0,3,3,1,0,0,0,0,0,NA,3.63636363636364,0,0,165,89.6739130434783,10,0,5,10,5,NA,0,0,0,0,0,0,30,"Poor"
109,"YEL","50",10,3,63,2,4,5,4,3,4.76190476190476,0,0,3,0,6.34920634920635,4.76190476190476,2.5,60,50,0,5,0,0,0,0,0,0,0,0,0,5,10,"Poor"
110,"YEL","53",6,0,113,1,2,3,2,41,36.283185840708,0,0,0,NA,0,0,41,72,72,5,0,5,5,5,NA,0,0,10,0,5,0,35,"Fair"
111,"YEL","54",14,0,833,0,5,11,4,0,0,0,0,0,NA,8.5234093637455,0,0,833,277.666666666667,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
114,"YEL","81",8,16,114,1,4,4,3,16,14.0350877192982,0,0,16,0,5.26315789473684,14.0350877192982,6.25,98,38.28125,5,0,0,0,0,0,0,0,0,0,0,5,10,"Poor"
116,"YEL","89",3,0,31,1,2,2,0,2,6.45161290322581,0,0,0,NA,0,0,1.72413793103448,29,25,10,0,5,10,5,NA,0,0,10,0,0,5,45,"Fair"
117,"YEL","97",3,349,352,2,1,1,0,350,99.4318181818182,0,0,349,0,0,99.1477272727273,144.628099173554,2,0.826446280991736,10,5,10,10,10,0,0,10,10,10,10,10,95,"Good"
118,"YEL","106",10,0,116,0,3,7,2,0,0,0,0,0,NA,0,0,0,116,62.3655913978495,0,0,0,5,5,NA,0,0,10,0,0,0,20,"Poor"
