"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
1453,601942.292936,4789112.95176,9487,0.755509,14.7945595,0.108576812578891,0.0305839915143463,0.0615320804854995,0.18451789915004
1454,603510.433497,4789208.34349,174299,13.8805,8.0382824,0.096676507533164,0.0305796043827466,0.0511245371065213,0.175316321371834
1455,596471.537157,4788678.62923,10824,0.861983,92.013382,0.348189500842801,0.116528820880614,0.163372508201528,0.593712051724454
1456,595704.666881,4788411.40428,8881,0.70725,87.2444839,0.327765769759998,0.10588149381419,0.159740251569884,0.555655219661413
1457,596285.787172,4788313.69922,405652,32.3046,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1458,596548.660297,4788217.76802,420800,33.5109,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1459,596611.584065,4788627.81179,426693,33.9802,15.666317,0.110202767331733,0.0305946428516642,0.0629620865246377,0.185857826998706
1460,594028.824508,4787899.28037,105826,8.42759,5.3867011,0.0923330975389704,0.0305843165622228,0.0473927696691193,0.172185601406263
1461,595750.439642,4788326.99918,394187,31.3916,12.2519054,0.103954256839852,0.0305711738751192,0.0574701449805581,0.180823374087079
1462,595712.799404,4787831.37791,136220,10.8481,15.3276482,0.109568583148213,0.0305900383358851,0.0624043965051332,0.185332733326311
1463,594311.539627,4787798.33953,113036,9.00177,5.6736312,0.0927945105036772,0.0305842488116737,0.0477865956256543,0.172513257126583
1464,593815.168715,4787841.36539,100102,7.97175,5.6380925,0.0927372477890277,0.0305842645247217,0.047737703633526,0.17247243375452
1465,595107.211047,4787794.24851,126258,10.0547,10.9826994,0.101712551799882,0.0305716320864584,0.0555065353326113,0.179089119114408
1466,593447.077861,4787770.99702,93437,7.44097,6.1941237,0.0936367949167266,0.0305837875008099,0.04850724057766,0.173114214841941
1467,603746.31083,4787998.6197,159547,12.7057,7.5037951,0.0957865648380166,0.0305811178165515,0.0503557321888324,0.17466622691006
1468,595708.350398,4787756.62608,256033,20.3895,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1469,596159.926867,4788164.32038,14392,1.14613,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1470,593113.632454,4787615.53867,87455,6.96459,6.8455191,0.094700572715517,0.0305826886345433,0.0494203816504984,0.173878942094554
1471,592986.808295,4787510.4021,80214,6.38794,7.8460317,0.096355556949326,0.0305801675901266,0.0508470426753349,0.175081357562015
1472,602803.136804,4786916.85723,9182,0.73122,2.1130216,0.0872129804311418,0.0305724035157005,0.043071877153102,0.168619903021982
1473,593020.940202,4787360.87905,76578,6.09839,8.4818535,0.0974206771072317,0.0305782552736012,0.051768834518248,0.175863796477737
1474,603768.212754,4787501.54128,152482,12.1431,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1475,603389.834761,4786818.79087,17488,1.39268,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1476,603440.66975,4786834.34363,127355,10.1421,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1477,595566.18617,4787174.27131,243330,19.3779,9.0332088,0.0983527910034546,0.0305765388234723,0.0525776428562179,0.176554173748099
1478,592896.00538,4786801.8244,68945,5.49052,10.2344713,0.100411183308059,0.0305731286966125,0.0543697861637561,0.178098322905394
1479,603390.530447,4786696.28754,122171,9.72924,9.139039,0.0985326108497384,0.0305762116942829,0.0527338767131135,0.176687965724844
1480,595436.656311,4786608.78548,234793,18.698,9.411294,0.0989965576385239,0.0305753849114712,0.0531372481093036,0.177034157789789
1481,603535.87788,4786340.77467,102172,8.1366,14.2823238,0.107631279865263,0.03057944710177,0.0607004686084636,0.183748731496981
1482,592763.887838,4786346.51901,60406,4.81051,5.2733078,0.0921513203552783,0.0305843043854892,0.0472377966320871,0.172056785489939
1483,594277.91281,4785962.79063,13385,1.06593,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1484,603453.883109,4786325.80982,17434,1.38838,0.1052257,0.0842011087745457,0.0305499919066085,0.0405786607486405,0.166576257462699
1485,594799.737646,4785891.3993,21238,1.69132,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1486,595298.210231,4785873.55147,36948,2.9424,7.4077725,0.0956274565377002,0.030581368903457,0.0502185225812658,0.17455035424431
1487,595448.24532,4786141.61842,220540,17.563,9.7663946,0.0996046046560086,0.0305743551716594,0.0536666052905638,0.177489908220734
1488,592556.09025,4786122.61479,54392,4.33158,6.6082411,0.0943118326577499,0.0305831487854961,0.0490863157945987,0.173598725417676
1489,603755.630128,4786113.96181,97325,7.7506,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1490,592393.597691,4785780.26584,46998,3.74275,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1491,604002.124343,4785602.83887,85800,6.83279,16.7021484,0.112162442055871,0.0306128690852787,0.0646846391482724,0.187502447992541
1492,595309.421826,4785774.98616,182781,14.556,10.4103889,0.10071581127086,0.0305727167210384,0.0546356401168856,0.178329280272801
1493,592365.740861,4785530.68919,38649,3.07786,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1494,594803.346405,4785718.18212,12406,0.987968,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1495,604040.403493,4785453.61447,76523,6.09401,0.0601658,0.08413461643545,0.0305493336870196,0.0405240742999244,0.166531559450226
1496,592111.469131,4785150.20205,24906,1.98342,2.6901634,0.0880966099393412,0.0305764980353614,0.0438105670462021,0.169226519715137
1497,595314.386581,4785169.34718,165142,13.1513,8.7838345,0.0979302194926347,0.0305773141662485,0.0522107378777343,0.176240511446692
1498,592037.685943,4785125.15927,10955,0.872415,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
1499,595357.54313,4785275.64911,11013,0.877034,32.7543411,0.146599910084756,0.0327107865251418,0.0933015672883843,0.222861167793184
1500,603989.405642,4785369.43444,9003,0.716965,36.7372627,0.156399118714335,0.0341747948732917,0.100386273376601,0.235484537081511
1501,594122.25987,4784459.96253,10023,0.798194,37.9954567,0.159603632745893,0.0347503392121317,0.102572175200326,0.239869518891391
1502,595200.493856,4784875.73988,90638,7.21807,12.7255068,0.104801874957147,0.0305719359866706,0.0582139559704486,0.181488671722592
1503,592182.09211,4784913.25343,17625,1.40359,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1504,595267.870233,4784899.22784,73526,5.85534,3.3047411,0.0890464389954726,0.0305798273811006,0.0446080218344049,0.169882533200781
1505,604174.536104,4784923.65448,68323,5.44099,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1506,594085.531495,4784319.80211,69027,5.49705,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1507,595378.171237,4783956.2268,52638,4.19189,1.6016337,0.0864367326286572,0.0305679417204213,0.0424255377111892,0.1680896800068
1508,595446.412261,4783973.97943,10886,0.866921,4.7668505,0.0913433513952806,0.0305839545463385,0.0465502654807725,0.171486441028115
1509,604221.086159,4783772.52188,39907,3.17804,2.4e-06,0.0840458981579168,0.0305484392489694,0.0404512723765828,0.166471884524381
1510,595296.53875,4783742.86773,49265,3.92328,1.8020946,0.0867402675222923,0.0305697866724875,0.0426779688677149,0.16829659830721
1511,593592.76033,4783365.93111,12333,0.982154,2.0212014,0.0870731410118354,0.0305716613632731,0.0429552613033435,0.168524176812669
1512,603876.292553,4783471.44128,29330,2.33573,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1513,595322.787909,4783386.0568,44903,3.57591,2.1422982,0.0872576104101478,0.0305726347758505,0.0431091111851286,0.168650466046189
1514,593660.249561,4783298.46684,43515,3.46537,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1515,604419.859282,4783184.6859,9886,0.787284,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1516,603310.256471,4783104.19042,13141,1.0465,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1517,595296.605592,4782875.18258,32136,2.55919,4.5815096,0.0910492618663764,0.0305836974313712,0.0463005385109349,0.171279673171635
1518,593428.635343,4782812.64833,27569,2.19549,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1519,592868.75137,4782748.41262,16685,1.32873,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1520,592618.351635,4782444.05686,10968,0.873451,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1521,594974.982961,4782731.93999,22358,1.78051,0.0006628,0.084046875836833,0.0305484505570047,0.0404520486830566,0.166472578320519
1522,594895.49252,4782338.62082,11893,0.947114,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1523,593463.280866,4782729.90577,11636,0.926648,44.3843384,0.176700330957574,0.038618424669491,0.113130382282729,0.265305456021135
1524,594837.048266,4782326.56846,9059,0.721425,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1525,595218.773299,4801543.94775,10602,0.844304,98.4873276,0.376821052438733,0.13133170886618,0.16809163771345,0.6440729266257
1526,595198.375675,4801140.15404,17749,1.41346,23.5420341,0.125879735236517,0.0309749955785617,0.0765885020539469,0.200022458724845
1527,595296.909075,4801120.2469,21113,1.68136,15.8023939,0.110458487878713,0.030596671210067,0.0631870062404808,0.186070669434089
1528,596098.483621,4801062.72329,11245,0.89551,1.7105408,0.086601517568414,0.0305689593292395,0.0425625350809923,0.168201997874375
1529,597633.765213,4800921.79212,8835,0.703587,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1530,598758.180333,4800919.27363,11122,0.885715,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
1531,598494.965078,4800512.43795,18636,1.4841,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
