"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~MEANT + avdep + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + avdep + pctrun + pctBrBnk + Area_km2)",8,389.890709069767,28.04315,8.79275591716496e-08,372.77443
"~1","~MEANT2 + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + pctrun + HAiFLS_for + Area_km2)",6,389.910531374046,28.0629723042784,8.70604001265578e-08,377.26931
"~effort","~pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~pctrun + pctBrBnk + HAiFLS_for)",6,389.942011374046,28.0944523042784,8.57007975704231e-08,377.30079
"~effort","~MEANT2 + avdep + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT2 + avdep + pctrun + pctBrBnk + Area_km2)",8,389.974219069767,28.12666,8.43317381142326e-08,372.85794
"~effort","~pctrun + HAiFLS_for","p(~effort)Psi(~pctrun + HAiFLS_for)",5,390.053065454545,28.205506384778,8.10717927085994e-08,379.59852
"~effort","~MEANT + avdep + mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctBrBnk + Area_km2)",8,390.100999069767,28.25344,7.91518598815846e-08,372.98472
"~effort","~MEANT2 + avdep + mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT2 + avdep + mFlow + pctBrBnk + Area_km2)",8,390.187059069767,28.3395,7.58181935456334e-08,373.07078
"~effort","~pctrun + Area_km2","p(~effort)Psi(~pctrun + Area_km2)",5,390.293975454545,28.446416384778,7.18715208118557e-08,379.83943
"~1","~MEANT + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + pctBrBnk + HAiFLS_for + Area_km2)",6,390.506071374046,28.6585123042784,6.46399171242659e-08,377.86485
"~1","~pctrun + pctBrBnk + Area_km2","p(~1)Psi(~pctrun + pctBrBnk + Area_km2)",5,390.523215454545,28.675656384778,6.40881892481163e-08,380.06867
"~1","~MEANT2 + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + pctBrBnk + HAiFLS_for + Area_km2)",6,390.566101374046,28.7185423042783,6.27285779264642e-08,377.92488
"~effort","~HAiFLS_for","p(~effort)Psi(~HAiFLS_for)",4,390.684871879699,28.8373128099318,5.91118776256798e-08,382.38412
"~1","~MEANT2 + mFlow + Area_km2","p(~1)Psi(~MEANT2 + mFlow + Area_km2)",5,390.735655454545,28.888096384778,5.76298171058027e-08,380.28111
"~1","~MEANT + mFlow + Area_km2","p(~1)Psi(~MEANT + mFlow + Area_km2)",5,390.760965454545,28.913406384778,5.69051070450137e-08,380.30642
"~1","~MEANT + pctrun + pctBrBnk + Area_km2","p(~1)Psi(~MEANT + pctrun + pctBrBnk + Area_km2)",6,390.761821374046,28.9142623042784,5.68807591599467e-08,378.1206
"~1","~MEANT + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",8,390.844999069767,28.99744,5.45636704130524e-08,373.72872
"~1","~MEANT + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + HAiFLS_for + Area_km2)",5,390.858895454545,29.011336384778,5.41858655838419e-08,380.40435
"~1","~MEANT2 + pctrun + pctBrBnk + Area_km2","p(~1)Psi(~MEANT2 + pctrun + pctBrBnk + Area_km2)",6,390.866761374046,29.0192023042784,5.39731732847607e-08,378.22554
"~1","~MEANT2 + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",8,390.890109069767,29.0425499999999,5.33467620995684e-08,373.77383
"~1","~MEANT2 + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + HAiFLS_for + Area_km2)",5,390.920205454545,29.072646384778,5.25499997123944e-08,380.46566
"~effort","~pctBrBnk + HAiFLS_for","p(~effort)Psi(~pctBrBnk + HAiFLS_for)",5,391.136415454545,29.288856384778,4.71653773096311e-08,380.68187
"~effort","~mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~mFlow + pctBrBnk + Area_km2)",6,391.448771374046,29.6012123042784,4.03455914942846e-08,378.80755
"~1","~MEANT + mFlow + pctBrBnk + Area_km2","p(~1)Psi(~MEANT + mFlow + pctBrBnk + Area_km2)",6,391.473401374046,29.6258423042784,3.98517824053737e-08,378.83218
"~1","~MEANT2 + mFlow + pctBrBnk + Area_km2","p(~1)Psi(~MEANT2 + mFlow + pctBrBnk + Area_km2)",6,391.508811374046,29.6612523042784,3.91524160078502e-08,378.86759
"~effort","~MEANT2 + mFlow","p(~effort)Psi(~MEANT2 + mFlow)",5,391.590735454545,29.743176384778,3.75810559325885e-08,381.13619
"~effort","~MEANT + mFlow","p(~effort)Psi(~MEANT + mFlow)",5,391.696805454545,29.849246384778,3.56398748769961e-08,381.24226
"~effort","~MEANT + pctrun + HAiFLS_for","p(~effort)Psi(~MEANT + pctrun + HAiFLS_for)",6,391.862431374046,30.0148723042784,3.2807335448212e-08,379.22121
"~effort","~MEANT2 + pctrun + HAiFLS_for","p(~effort)Psi(~MEANT2 + pctrun + HAiFLS_for)",6,391.889641374046,30.0420823042784,3.23640141804254e-08,379.24842
"~1","~MEANT + avdep + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + avdep + pctrun + HAiFLS_for + Area_km2)",7,392.011958461538,30.164399391771,3.04439895865801e-08,377.15042
"~effort","~MEANT + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT + pctrun + pctBrBnk + HAiFLS_for)",7,392.047758461538,30.200199391771,2.99038904809946e-08,377.18622
"~1","~MEANT2 + avdep + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + avdep + pctrun + HAiFLS_for + Area_km2)",7,392.047948461539,30.2003893917711,2.99010497463355e-08,377.18641
"~effort","~avdep + HAiFLS_for","p(~effort)Psi(~avdep + HAiFLS_for)",5,392.069355454545,30.221796384778,2.95827106746956e-08,381.61481
"~effort","~MEANT2 + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT2 + pctrun + pctBrBnk + HAiFLS_for)",7,392.069388461538,30.2218293917711,2.9582222460561e-08,377.20785
"~effort","~mFlow + Area_km2","p(~effort)Psi(~mFlow + Area_km2)",5,392.091155454545,30.243596384778,2.92620101215519e-08,381.63661
"~effort","~MEANT + avdep + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT + avdep + pctrun + pctBrBnk + HAiFLS_for)",8,392.359759069767,30.5122,2.55845405482335e-08,375.24348
"~effort","~MEANT + HAiFLS_for","p(~effort)Psi(~MEANT + HAiFLS_for)",5,392.384045454545,30.536486384778,2.52757412493645e-08,381.9295
"~effort","~MEANT2 + avdep + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT2 + avdep + pctrun + pctBrBnk + HAiFLS_for)",8,392.385849069767,30.53829,2.52529576682803e-08,375.26957
"~effort","~MEANT2 + HAiFLS_for","p(~effort)Psi(~MEANT2 + HAiFLS_for)",5,392.422105454545,30.574546384778,2.47992916893555e-08,381.96756
"~1","~MEANT + pctrun + Area_km2","p(~1)Psi(~MEANT + pctrun + Area_km2)",5,392.459085454545,30.611526384778,2.43449659709553e-08,382.00454
"~1","~MEANT2 + pctrun + Area_km2","p(~1)Psi(~MEANT2 + pctrun + Area_km2)",5,392.534595454545,30.687036384778,2.34429566066388e-08,382.08005
"~1","~MEANT + avdep + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + avdep + pctBrBnk + HAiFLS_for + Area_km2)",7,392.725778461538,30.878219391771,2.1305784068288e-08,377.86424
"~1","~MEANT2 + avdep + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + avdep + pctBrBnk + HAiFLS_for + Area_km2)",7,392.786098461538,30.938539391771,2.06727950759811e-08,377.92456
"~effort","~MEANT2 + mFlow + pctBrBnk","p(~effort)Psi(~MEANT2 + mFlow + pctBrBnk)",6,392.962201374046,31.1146423042784,1.89303628324881e-08,380.32098
"~1","~MEANT + avdep + pctrun + pctBrBnk + Area_km2","p(~1)Psi(~MEANT + avdep + pctrun + pctBrBnk + Area_km2)",7,392.981288461538,31.1337293917711,1.87505594321648e-08,378.11975
