"newID","HUC8","HUC_10","HUC_12","BRT","BRT_ab","BKT","BKT_ab","LND","LND_ab","SRD","SRD_ab","Cottus","Cottus_ab","LND_CPUE","SRD_CPUE","Cottus_CPUE","BRT_CPUE","SegLen","avwid","avdep","pctfines","pctcbbl","pctrock","mFlow","pctriffle","pctrun","pctpool","BrBank","Canopy","MEANT","HAiFLS_alt","HAiFLS_for"
"UPI_26","UPI",706000202,70600020208,"1",4,"0",0,"1",2,"1",27,"0",0,0.444444444444444,6,0,0.888888888888889,450,5.72916666666667,0.281458333333333,20.8333333333333,77.0833333333333,79.1666666666667,0.37625,29.1666666666667,0.35,16.6666666666667,0.916666666666667,58.4834834834835,23.1805787037037,80.4846191,12.4863567
"UPI_27","UPI",706000204,70600020406,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,360,4.04458333333333,0.39,33.3333333333333,62.5,66.6666666666667,0.407291666666667,16.6666666666667,0.714285714285714,4.16666666666667,1.29166666666667,64.7147147147147,21.5668518518519,92.6484375,3.1386724
"UPI_32","UPI",706000204,70600020406,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,1.90833333333333,0.29,16.6666666666667,62.5,83.3333333333333,0.429583333333333,20.8333333333333,0.791666666666667,0,0.291666666666667,41.6666666666667,16.6847222222222,95.1725464,0
"UPI_34","UPI",706000203,70600020302,"1",16,"1",93,"0",0,"0",0,"1",10,0,0,2.22222222222222,3.55555555555556,450,3.2625,0.300555555555556,14.2857142857143,77.1428571428572,85.7142857142857,0.116666666666667,16.6666666666667,0.333333333333333,16.6666666666667,1.04166666666667,71.8468468468468,16.6888657407407,63.3477173,35.5497017
"UPI_35","UPI",706000205,70600020502,"1",170,"1",4,"0",0,"0",0,"1",184,0,0,40.8888888888889,37.7777777777778,450,5.925,0.347045454545455,13.6363636363636,75,86.3636363636364,0.195727272727273,29.1666666666667,0.375,16.6666666666667,0.625,28.060413354531,17.2473611111111,81.0025711,18.2874947
"UPI_36","UPI",706000204,70600020401,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,2.375,0.250588235294118,58.8235294117647,17.6470588235294,41.1764705882353,0.311764705882353,12.5,0.791666666666667,8.33333333333333,0.916666666666667,10.8858858858859,18.2514351851852,90.6212006,8.3160257
"UPI_38","UPI",706000202,70600020205,"1",36,"0",0,"0",0,"0",0,"0",0,0,0,0,13.1868131868132,273,2.3375,0.404864864864865,43.2432432432432,37.8378378378378,56.7567567567568,0.238108108108108,8.33333333333333,0.833333333333333,8.33333333333333,0.833333333333333,4.9694856146469,18.6836111111111,92.5337143,4.9718437
"UPI_41","UPI",706000202,70600020204,"0",0,"0",0,"0",0,"1",1,"0",0,0,0.666666666666667,0,0,150,2.72083333333333,0.253714285714286,60,40,40,0.108857142857143,16.6666666666667,0.291666666666667,37.5,1.70833333333333,42.4924924924925,19.2873721296296,73.6208496,11.0559187
"UPI_48","UPI",706000204,70600020403,"0",0,"0",0,"1",17,"0",0,"0",0,4.53333333333333,0,0,0,375,3.4625,0.220444444444444,11.1111111111111,82.2222222222222,88.8888888888889,0.233555555555556,41.6666666666667,0.458333333333333,8.33333333333333,1.08333333333333,66.0660660660661,18.699537037037,81.6328583,14.5001488
"UPI_57","UPI",706000202,70600020204,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,0.95,0.215416666666667,75,12.5,25,0.137083333333333,8.33333333333333,0.583333333333333,20.8333333333333,0.25,14.4144144144144,18.8619444444444,92.833313,1.6014369
"UPI_61","UPI",706000205,70600020503,"1",5,"0",0,"0",0,"0",0,"0",0,0,0,0,3.33333333333333,150,2.25,0.1925,16.6666666666667,75,83.3333333333333,0.178928571428571,66.6666666666667,0.0833333333333333,12.5,0.333333333333333,89.8198198198198,17.9340277777778,62.6055145,34.8816223
"UPI_75","UPI",706000202,70600020206,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,150,1.7,0.29125,20.8333333333333,79.1666666666667,79.1666666666667,0.405,12.5,0.791666666666667,0,0.208333333333333,2.02702702702703,18.156087962963,94.9341354,0.0168676
"UPI_84","UPI",706000204,70600020401,"0",0,"0",0,"0",0,"0",0,"0",0,0,0,0,0,165,2.11666666666667,0.163714285714286,82.8571428571428,17.1428571428571,17.1428571428571,0.209428571428571,8.33333333333333,0.75,8.33333333333333,0.791666666666667,64.527027027027,18.9649305555556,91.6177826,7.4522662
"UPI_85","UPI",706000206,70600020604,"1",100,"1",1,"0",0,"0",0,"1",45,0,0,16.304347826087,36.231884057971,276,3.5304347826087,0.248,0,94.2857142857143,100,0.204,54.1666666666667,0.130434782608696,12.5,0.625,91.0810810810811,17.6680787037037,41.6629295,57.5264244
"UPI_86","UPI",706000203,70600020301,"1",14,"0",0,"0",0,"0",0,"0",0,0,0,0,5.18518518518519,270,2.85833333333333,0.223611111111111,10,90,90,0.231944444444444,37.5,0.333333333333333,12.5,1.66666666666667,35.7357357357357,14.5513657407407,75.464859,16.0228348
"UPI_93","UPI",706000206,70600020602,"0",0,"1",5,"0",0,"0",0,"0",0,0,0,0,0,150,1.63333333333333,0.175172413793103,22.2222222222222,66.6666666666667,77.7777777777778,0.170344827586207,29.1666666666667,0.458333333333333,16.6666666666667,0.0454545454545455,65.5405405405405,16.1285648148148,41.5553322,57.9315987
"UPI_96","UPI",706000204,70600020403,"0",0,"0",0,"1",164,"0",0,"0",0,36.4444444444444,0,0,0,450,4.8375,0.281041666666667,21.2765957446809,74.468085106383,78.7234042553191,0.291875,33.3333333333333,0.458333333333333,4.16666666666667,1.79166666666667,59.984984984985,22.2465046296296,84.6182861,8.7269726
"UPI_108","UPI",706000204,70600020405,"0",0,"0",0,"1",1,"0",0,"0",0,0.222222222222222,0,0,0,450,2.96666666666667,0.35972972972973,10.8108108108108,81.0810810810811,89.1891891891892,0.25972972972973,25,0.391304347826087,16.6666666666667,0.916666666666667,0,19.2873721296296,99.2879639,0.2732082
"UPI_109","UPI",706000205,70600020503,"1",20,"0",0,"1",1,"0",0,"0",0,0.36231884057971,0,0,7.2463768115942,276,3.77083333333333,0.229310344827586,0,92.8571428571429,100,0.237241379310345,33.3333333333333,0.5,8.33333333333333,0.625,46.6216216216216,18.9732638888889,74.9416809,24.677969
