"IBIScore","HUC8","MEANT","pctrun","pctrock","pctShade","pctBrBnk","HAiFLS_dev","HAiFLS_for","watershed_sm","estimate","2.5 %","97.5 %"
95,"YEL",13.9122685185185,0.416666666666667,95.8333333333333,47.972972972973,0.333333333333333,6.4086299,13.8561373,"YEL_109_05",67.7711446460106,51.4883687323291,83.770548482165
20,"YEL",17.4660185185185,0.375,42.5531914893617,88.3633633633634,1.875,8.7649336,15.5419941,"YEL_108_01",42.9096725872918,26.9395990631765,59.3456894646057
55,"YEL",15.1001157407407,0.458333333333333,20.8333333333333,87.3123123123123,1.5,2.0833972,0.2115441,"YEL_109_03",57.9819732067271,38.4318374644776,77.7874015291507
15,"YEL",18.9690740740741,0.166666666666667,48.8888888888889,96.6216216216216,1.54166666666667,4.3731918,17.2362919,"YEL_108_01",43.2257647773331,26.3722900606753,60.248706557288
20,"YEL",16.6810185185185,0.375,54.3478260869565,75.8258258258258,0.833333333333333,0.6260446,11.4105396,"YEL_108_01",54.8348666076857,40.4866516004065,69.0450684474058
30,"YEL",18.4859722222222,0.375,65.5172413793103,26.4264264264264,1.08333333333333,0.3915699,1.9770584,"YEL_109_01",30.8176474181495,17.5281121297822,44.7564087998398
60,"YEL",16.4059027777778,0.375,82.9787234042553,83.5585585585586,1.95833333333333,0.50621,49.5317574,"YEL_110_02",42.2439120609661,26.3092541347121,58.6753884342775
0,"YEL",20.4574768518519,0.208333333333333,87.2340425531915,30.5019305019305,0.75,1.4553977,1.710794,"YEL_109_01",27.2054449398845,12.1509730551271,42.6690282898013
65,"YEL",15.4660648148148,0.291666666666667,63.0434782608696,97.2222222222222,1.5,3.629549,2.9230087,"YEL_109_01",58.3409869602547,41.7702455662868,75.1337675546056
0,"YEL",21.8503009259259,0.5,75,32.8078078078078,1.25,2.2478735,3.9886549,"YEL_109_01",9.80320619001095,-4.5928864691307,24.300704349274
50,"YEL",16.2077777777778,0.541666666666667,80,73.449920508744,0.25,10.5636873,12.8519182,"YEL_110_02",61.9481402229561,46.3048249886272,77.3848352260878
15,"YEL",18.9626157407407,0.666666666666667,40.4255319148936,35.6606606606607,1.125,3.9687452,5.4718719,"YEL_109_01",27.3030763299604,13.439873501385,41.4197674873545
40,"YEL",17.0592824074074,0.608695652173913,39.1304347826087,68.8438438438438,2.08333333333333,7.2724271,2.1779046,"YEL_109_01",33.6097612526705,16.5970999310375,51.2385321485016
50,"LMAQ",15.3623148148148,0.541666666666667,95.6521739130435,99.3993993993994,1.95833333333333,0.1006829,90.1195068,"LMAQ_307_01",43.2006316418092,17.1024662502321,69.4094865733193
30,"LMAQ",16.3311111111111,0.458333333333333,75.609756097561,55.8277027027027,0.333333333333333,0,98.6817856,"LMAQ_307_03",53.4763814727512,29.4583215051097,76.9352298404444
70,"LMAQ",16.4618981481481,0.458333333333333,67.3913043478261,75.6756756756757,1,8.0446262,61.2558517,"LMAQ_307_01",49.7860217144773,27.7502064474939,71.8085909776186
45,"LMAQ",16.2021296296296,0.25,100,96.021021021021,0.541666666666667,0.1037932,98.6865692,"LMAQ_307_01",61.6118448807843,38.4825341503128,84.6070451934298
40,"LMAQ",16.8316435185185,0.208333333333333,80,79.5218295218295,1.25,1.1877441,53.7632866,"LMAQ_307_05",47.0006255135977,25.1315743438633,69.4089082276578
95,"LMAQ",14.7113194444444,0.375,87.1794871794872,80.2802802802803,0.208333333333333,0.0033238,70.4950867,"LMAQ_307_01",68.3888638491127,45.4420365882075,90.9232898742294
70,"LMAQ",16.9257407407407,0.416666666666667,84.7826086956522,84.5786963434022,0.541666666666667,0.1288488,74.9590683,"LMAQ_307_01",52.9044387932751,30.8483293421411,74.544488162217
